dataset,video_id,label,label_name,label_cat,embedding_file,n_frames,embedding_dim,layer
FaceForensics++,001,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/final/FaceForensics++/FF-real/001.npz,96,768,final
FaceForensics++,002,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/final/FaceForensics++/FF-real/002.npz,96,768,final
FaceForensics++,005,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/final/FaceForensics++/FF-real/005.npz,96,768,final
FaceForensics++,006,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/final/FaceForensics++/FF-real/006.npz,96,768,final
FaceForensics++,007,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/final/FaceForensics++/FF-real/007.npz,96,768,final
FaceForensics++,008,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/final/FaceForensics++/FF-real/008.npz,96,768,final
FaceForensics++,009,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/final/FaceForensics++/FF-real/009.npz,96,768,final
FaceForensics++,010,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/final/FaceForensics++/FF-real/010.npz,96,768,final
FaceForensics++,011,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/final/FaceForensics++/FF-real/011.npz,96,768,final
FaceForensics++,013,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/final/FaceForensics++/FF-real/013.npz,96,768,final
FaceForensics++,014,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/final/FaceForensics++/FF-real/014.npz,96,768,final
FaceForensics++,016,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/final/FaceForensics++/FF-real/016.npz,96,768,final
FaceForensics++,017,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/final/FaceForensics++/FF-real/017.npz,96,768,final
FaceForensics++,018,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/final/FaceForensics++/FF-real/018.npz,96,768,final
FaceForensics++,019,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/final/FaceForensics++/FF-real/019.npz,96,768,final
FaceForensics++,020,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/final/FaceForensics++/FF-real/020.npz,96,768,final
FaceForensics++,021,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/final/FaceForensics++/FF-real/021.npz,96,768,final
FaceForensics++,025,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/final/FaceForensics++/FF-real/025.npz,96,768,final
FaceForensics++,027,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/final/FaceForensics++/FF-real/027.npz,96,768,final
FaceForensics++,028,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/final/FaceForensics++/FF-real/028.npz,96,768,final
FaceForensics++,030,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/final/FaceForensics++/FF-real/030.npz,96,768,final
FaceForensics++,031,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/final/FaceForensics++/FF-real/031.npz,96,768,final
FaceForensics++,032,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/final/FaceForensics++/FF-real/032.npz,96,768,final
FaceForensics++,033,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/final/FaceForensics++/FF-real/033.npz,96,768,final
FaceForensics++,034,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/final/FaceForensics++/FF-real/034.npz,96,768,final
FaceForensics++,037,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/final/FaceForensics++/FF-real/037.npz,96,768,final
FaceForensics++,038,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/final/FaceForensics++/FF-real/038.npz,96,768,final
