dataset,video_id,label,label_name,label_cat,embedding_file,n_frames,embedding_dim,layer
FaceForensics++,001,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/pre_proj/FaceForensics++/FF-real/001.npz,96,1024,pre_proj
FaceForensics++,002,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/pre_proj/FaceForensics++/FF-real/002.npz,96,1024,pre_proj
FaceForensics++,005,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/pre_proj/FaceForensics++/FF-real/005.npz,96,1024,pre_proj
FaceForensics++,006,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/pre_proj/FaceForensics++/FF-real/006.npz,96,1024,pre_proj
FaceForensics++,007,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/pre_proj/FaceForensics++/FF-real/007.npz,96,1024,pre_proj
FaceForensics++,008,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/pre_proj/FaceForensics++/FF-real/008.npz,96,1024,pre_proj
FaceForensics++,009,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/pre_proj/FaceForensics++/FF-real/009.npz,96,1024,pre_proj
FaceForensics++,010,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/pre_proj/FaceForensics++/FF-real/010.npz,96,1024,pre_proj
FaceForensics++,011,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/pre_proj/FaceForensics++/FF-real/011.npz,96,1024,pre_proj
FaceForensics++,013,1,real,FF-real,/home/max-andreasen/GitHub/DeepfakeBench/clip/embeddings/probing/ViT-L-14-336-quickgelu/pre_proj/FaceForensics++/FF-real/013.npz,96,1024,pre_proj
