final_rank,trial,val_auc,test_auc,test_acc,test_acc_at_best,test_f1,test_precision,test_recall,best_thresh,num_videos
1,840,0.950013,0.687013,0.664093,0.65251,0.553846,0.509434,0.606742,0.322212,518
2,1,0.951709,0.684385,0.666023,0.671815,0.533693,0.512953,0.55618,0.460509,518
3,415,0.950268,0.676785,0.658301,0.669884,0.474777,0.503145,0.449438,0.343448,518
4,24,0.950153,0.675611,0.658301,0.660232,0.544987,0.50237,0.595506,0.457561,518
5,13,0.949949,0.673331,0.633205,0.679537,0.545455,0.475,0.640449,0.648838,518
6,263,0.950077,0.671811,0.650579,0.675676,0.436137,0.48951,0.393258,0.329513,518
7,175,0.949477,0.670621,0.658301,0.600386,0.471642,0.503185,0.44382,0.065654,518
8,763,0.949605,0.667019,0.664093,0.629344,0.5,0.511765,0.488764,0.233269,518
9,194,0.949566,0.666011,0.660232,0.640927,0.505618,0.505618,0.505618,0.370829,518
10,261,0.949796,0.665565,0.660232,0.625483,0.502825,0.505682,0.5,0.256503,518
