final_rank,trial,val_auc,test_auc,test_acc,test_acc_at_best,test_f1,test_precision,test_recall,best_thresh,num_videos
1,1,0.932449,0.672835,0.610039,0.671815,0.540909,0.454198,0.668539,0.704102,518
2,8,0.932143,0.672703,0.69305,0.677606,0.495238,0.569343,0.438202,0.379793,518
3,41,0.931913,0.672703,0.573359,0.660232,0.534737,0.427609,0.713483,0.748741,518
4,339,0.931913,0.671596,0.646718,0.675676,0.522193,0.487805,0.561798,0.565989,518
5,149,0.932015,0.671282,0.617761,0.666023,0.545872,0.46124,0.668539,0.674484,518
6,59,0.932066,0.671051,0.600386,0.698842,0.543046,0.447273,0.691011,0.861004,518
7,112,0.93213,0.671001,0.57529,0.675676,0.537815,0.42953,0.719101,0.809907,518
8,253,0.931875,0.670621,0.586873,0.696911,0.538793,0.437063,0.702247,0.861025,518
9,184,0.932066,0.670473,0.573359,0.689189,0.534737,0.427609,0.713483,0.873286,518
10,62,0.932054,0.670423,0.573359,0.65444,0.536688,0.428094,0.719101,0.741856,518
