final_rank,trial,val_auc,test_auc,test_acc,test_acc_at_best,test_f1,test_precision,test_recall,best_thresh,num_videos
1,801,0.954681,0.697571,0.677606,0.65251,0.554667,0.527919,0.58427,0.39321,518
2,115,0.954528,0.696761,0.683398,0.65444,0.549451,0.537634,0.561798,0.33719,518
3,446,0.954579,0.696464,0.677606,0.662162,0.547425,0.528796,0.567416,0.340303,518
4,99,0.954566,0.695803,0.675676,0.65444,0.543478,0.526316,0.561798,0.354291,518
5,600,0.954643,0.695093,0.681467,0.65444,0.550409,0.534392,0.567416,0.296252,518
6,287,0.954515,0.692961,0.681467,0.65444,0.555256,0.533679,0.578652,0.315058,518
7,284,0.95449,0.691937,0.667954,0.65251,0.547368,0.514851,0.58427,0.391409,518
8,750,0.954758,0.690945,0.679537,0.650579,0.541436,0.532609,0.550562,0.31902,518
9,433,0.954974,0.689227,0.675676,0.65444,0.52,0.52907,0.511236,0.296597,518
10,470,0.954477,0.687822,0.671815,0.65444,0.502924,0.52439,0.483146,0.304399,518
