number,value,datetime_start,datetime_complete,duration,params_clip.feature_layer,params_clip.l2_normalize_features,params_loss.ua_enabled,params_optimizer.lr,params_optimizer.weight_decay,params_temporal.attn_dropout,params_temporal.dim_feedforward,params_temporal.mlp_dropout,params_temporal.mlp_hidden_dim,params_temporal.num_layers,user_attrs_best_val_auc,user_attrs_epoch_metrics,user_attrs_overrides,user_attrs_trial_dir,system_attrs_fixed_params,state
0,0.773376811594203,2026-05-01 11:32:26.487365,2026-05-01 15:41:09.540929,0 days 04:08:43.053564,pre_proj,True,True,2e-05,0.0001,0.0,1024,0.25,256,1,0.773376811594203,"[{'epoch': 0, 'train_loss': 0.30213192065556843, 'train_ce': 0.9735885112815433, 'train_align': 0.8782951589425405, 'train_uniform': -1.518572215239207, 'val_loss': 0.7980822256151235, 'val_auc': 0.47313043478260874, 'val_acc': 0.4339622641509434, 'val_acc_at_best': 0.5773584905660377, 'best_threshold': 0.6824679374694824, 'lr': 2e-08}, {'epoch': 1, 'train_loss': -0.20354588210582733, 'train_ce': 0.49513593594233196, 'train_align': 0.9279566657543182, 'train_uniform': -1.5829549696710374, 'val_loss': 0.6688082645524223, 'val_auc': 0.6832246376811594, 'val_acc': 0.5660377358490566, 'val_acc_at_best': 0.6, 'best_threshold': 0.2992587685585022, 'lr': 2e-05}, {'epoch': 2, 'train_loss': -0.3682407290405697, 'train_ce': 0.37203064198295277, 'train_align': 0.9949348243077596, 'train_uniform': -1.679529710345798, 'val_loss': 0.6930164298640107, 'val_auc': 0.7371014492753624, 'val_acc': 0.5924528301886792, 'val_acc_at_best': 0.690566037735849, 'best_threshold': 0.21539199352264404, 'lr': 1.7071067811865477e-05}, {'epoch': 3, 'train_loss': -0.4301483601331711, 'train_ce': 0.326610391009599, 'train_align': 1.0239034997092353, 'train_uniform': -1.7182982100380793, 'val_loss': 0.6155768357920197, 'val_auc': 0.7663333333333334, 'val_acc': 0.6245283018867924, 'val_acc_at_best': 0.7150943396226415, 'best_threshold': 0.2419816553592682, 'lr': 1e-05}, {'epoch': 4, 'train_loss': -0.4509865243567361, 'train_ce': 0.3130608188997333, 'train_align': 1.038418371412489, 'train_uniform': -1.7357783669895597, 'val_loss': 0.6545202523048194, 'val_auc': 0.773376811594203, 'val_acc': 0.6283018867924528, 'val_acc_at_best': 0.7075471698113207, 'best_threshold': 0.15140382945537567, 'lr': 2.9289321881345257e-06}]","{'clip.feature_layer': 'pre_proj', 'clip.l2_normalize_features': True, 'loss.ua_enabled': True, 'optimizer.lr': 2e-05, 'optimizer.weight_decay': 0.0001, 'temporal.num_layers': 1, 'temporal.dim_feedforward': 1024, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.25, 'temporal.mlp_hidden_dim': 256}",/home/jovyan/ThesisPEFT/DeepfakeBench/peft/searches/runs/peft_gend_pilot12/trial_0000,"{'clip.feature_layer': 'pre_proj', 'optimizer.lr': 2e-05, 'optimizer.weight_decay': 0.0001, 'temporal.num_layers': 1, 'temporal.dim_feedforward': 1024, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.25, 'temporal.mlp_hidden_dim': 256, 'clip.l2_normalize_features': True, 'loss.ua_enabled': True}",COMPLETE
1,0.7767101449275362,2026-05-01 15:41:09.735185,2026-05-01 20:30:10.760987,0 days 04:49:01.025802,pre_proj,True,False,2e-05,0.0001,0.0,1024,0.25,256,1,0.7767101449275362,"[{'epoch': 0, 'train_loss': 0.8008265054225921, 'train_ce': 0.8008265054225921, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.7235157390810408, 'val_auc': 0.43697101449275366, 'val_acc': 0.4339622641509434, 'val_acc_at_best': 0.569811320754717, 'best_threshold': 0.5938705801963806, 'lr': 2e-08}, {'epoch': 1, 'train_loss': 0.48185616453488667, 'train_ce': 0.48185616453488667, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.8001213393121396, 'val_auc': 0.6880869565217391, 'val_acc': 0.5660377358490566, 'val_acc_at_best': 0.6433962264150943, 'best_threshold': 0.17245040833950043, 'lr': 2e-05}, {'epoch': 2, 'train_loss': 0.3544703372567892, 'train_ce': 0.3544703372567892, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.7654081013405098, 'val_auc': 0.747036231884058, 'val_acc': 0.5849056603773585, 'val_acc_at_best': 0.6924528301886792, 'best_threshold': 0.10257408022880554, 'lr': 1.7071067811865477e-05}, {'epoch': 3, 'train_loss': 0.3165889933001664, 'train_ce': 0.3165889933001664, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.6720963038363547, 'val_auc': 0.7660072463768116, 'val_acc': 0.6283018867924528, 'val_acc_at_best': 0.7113207547169811, 'best_threshold': 0.14426937699317932, 'lr': 1e-05}, {'epoch': 4, 'train_loss': 0.3009261958244153, 'train_ce': 0.3009261958244153, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.6970457965472959, 'val_auc': 0.7767101449275362, 'val_acc': 0.6245283018867924, 'val_acc_at_best': 0.7113207547169811, 'best_threshold': 0.167763352394104, 'lr': 2.9289321881345257e-06}]","{'clip.feature_layer': 'pre_proj', 'clip.l2_normalize_features': True, 'loss.ua_enabled': False, 'optimizer.lr': 2e-05, 'optimizer.weight_decay': 0.0001, 'temporal.num_layers': 1, 'temporal.dim_feedforward': 1024, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.25, 'temporal.mlp_hidden_dim': 256}",/home/jovyan/ThesisPEFT/DeepfakeBench/peft/searches/runs/peft_gend_pilot12/trial_0001,"{'clip.feature_layer': 'pre_proj', 'optimizer.lr': 2e-05, 'optimizer.weight_decay': 0.0001, 'temporal.num_layers': 1, 'temporal.dim_feedforward': 1024, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.25, 'temporal.mlp_hidden_dim': 256, 'clip.l2_normalize_features': True, 'loss.ua_enabled': False}",COMPLETE
2,0.7729347826086956,2026-05-01 20:30:10.948123,2026-05-02 01:18:56.676347,0 days 04:48:45.728224,pre_proj,False,True,2e-05,0.0001,0.0,1024,0.25,256,1,0.7729347826086956,"[{'epoch': 0, 'train_loss': 0.08493565559387208, 'train_ce': 0.7553026277489132, 'train_align': 0.8779293195406596, 'train_uniform': -1.5163198092248704, 'val_loss': 0.7064708860415333, 'val_auc': 0.48044202898550725, 'val_acc': 0.4339622641509434, 'val_acc_at_best': 0.560377358490566, 'best_threshold': 0.5466663241386414, 'lr': 2e-08}, {'epoch': 1, 'train_loss': -0.2325299858384662, 'train_ce': 0.4680827910701434, 'train_align': 0.9283666584226821, 'train_uniform': -1.586898888481988, 'val_loss': 0.7398310844628316, 'val_auc': 0.6782246376811594, 'val_acc': 0.5660377358490566, 'val_acc_at_best': 0.6037735849056604, 'best_threshold': 0.14288842678070068, 'lr': 2e-05}, {'epoch': 2, 'train_loss': -0.3874300414323807, 'train_ce': 0.3526551491642992, 'train_align': 0.996601886484358, 'train_uniform': -1.679490761227078, 'val_loss': 0.8324597889522336, 'val_auc': 0.7615, 'val_acc': 0.5754716981132075, 'val_acc_at_best': 0.7018867924528301, 'best_threshold': 0.09670579433441162, 'lr': 1.7071067811865477e-05}, {'epoch': 3, 'train_loss': -0.4421746888425615, 'train_ce': 0.3131985420961347, 'train_align': 1.0190023908350203, 'train_uniform': -1.7145469408565097, 'val_loss': 0.686020958493903, 'val_auc': 0.7649855072463768, 'val_acc': 0.6452830188679245, 'val_acc_at_best': 0.6754716981132075, 'best_threshold': 0.08701920509338379, 'lr': 1e-05}, {'epoch': 4, 'train_loss': -0.46333269291453894, 'train_ce': 0.299276262247521, 'train_align': 1.0323082845740847, 'train_uniform': -1.731679569615258, 'val_loss': 0.6923660530656014, 'val_auc': 0.7729347826086956, 'val_acc': 0.6415094339622641, 'val_acc_at_best': 0.6981132075471698, 'best_threshold': 0.10743747651576996, 'lr': 2.9289321881345257e-06}]","{'clip.feature_layer': 'pre_proj', 'clip.l2_normalize_features': False, 'loss.ua_enabled': True, 'optimizer.lr': 2e-05, 'optimizer.weight_decay': 0.0001, 'temporal.num_layers': 1, 'temporal.dim_feedforward': 1024, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.25, 'temporal.mlp_hidden_dim': 256}",/home/jovyan/ThesisPEFT/DeepfakeBench/peft/searches/runs/peft_gend_pilot12/trial_0002,"{'clip.feature_layer': 'pre_proj', 'optimizer.lr': 2e-05, 'optimizer.weight_decay': 0.0001, 'temporal.num_layers': 1, 'temporal.dim_feedforward': 1024, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.25, 'temporal.mlp_hidden_dim': 256, 'clip.l2_normalize_features': False, 'loss.ua_enabled': True}",COMPLETE
3,0.7918695652173914,2026-05-02 01:18:56.865832,2026-05-02 06:08:10.394209,0 days 04:49:13.528377,pre_proj,False,False,2e-05,0.0001,0.0,1024,0.25,256,1,0.7918695652173914,"[{'epoch': 0, 'train_loss': 0.7092643492751651, 'train_ce': 0.7092643492751651, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.6875266790390014, 'val_auc': 0.5377246376811594, 'val_acc': 0.5886792452830188, 'val_acc_at_best': 0.5943396226415094, 'best_threshold': 0.5002288818359375, 'lr': 2e-08}, {'epoch': 1, 'train_loss': 0.4600348616143068, 'train_ce': 0.4600348616143068, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.7142217471352164, 'val_auc': 0.730036231884058, 'val_acc': 0.5679245283018868, 'val_acc_at_best': 0.6698113207547169, 'best_threshold': 0.16145241260528564, 'lr': 2e-05}, {'epoch': 2, 'train_loss': 0.3456952693685889, 'train_ce': 0.3456952693685889, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.6522353447270843, 'val_auc': 0.7696086956521739, 'val_acc': 0.620754716981132, 'val_acc_at_best': 0.7, 'best_threshold': 0.23222307860851288, 'lr': 1.7071067811865477e-05}, {'epoch': 3, 'train_loss': 0.3106203266072811, 'train_ce': 0.3106203266072811, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.6824418354709193, 'val_auc': 0.7722753623188405, 'val_acc': 0.6320754716981132, 'val_acc_at_best': 0.7018867924528301, 'best_threshold': 0.1596754789352417, 'lr': 1e-05}, {'epoch': 4, 'train_loss': 0.28957075933097964, 'train_ce': 0.28957075933097964, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.6673516732060685, 'val_auc': 0.7918695652173914, 'val_acc': 0.6433962264150943, 'val_acc_at_best': 0.720754716981132, 'best_threshold': 0.13318955898284912, 'lr': 2.9289321881345257e-06}]","{'clip.feature_layer': 'pre_proj', 'clip.l2_normalize_features': False, 'loss.ua_enabled': False, 'optimizer.lr': 2e-05, 'optimizer.weight_decay': 0.0001, 'temporal.num_layers': 1, 'temporal.dim_feedforward': 1024, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.25, 'temporal.mlp_hidden_dim': 256}",/home/jovyan/ThesisPEFT/DeepfakeBench/peft/searches/runs/peft_gend_pilot12/trial_0003,"{'clip.feature_layer': 'pre_proj', 'optimizer.lr': 2e-05, 'optimizer.weight_decay': 0.0001, 'temporal.num_layers': 1, 'temporal.dim_feedforward': 1024, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.25, 'temporal.mlp_hidden_dim': 256, 'clip.l2_normalize_features': False, 'loss.ua_enabled': False}",COMPLETE
4,0.7325579710144928,2026-05-02 06:08:10.582498,2026-05-02 08:36:05.638725,0 days 02:27:55.056227,pre_proj,False,False,1.367279159460548e-05,1e-05,0.0,1024,0.3431339538686576,256,1,,"[{'epoch': 0, 'train_loss': 0.8546760229269663, 'train_ce': 0.8546760229269663, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.735863566848467, 'val_auc': 0.6242898550724637, 'val_acc': 0.4339622641509434, 'val_acc_at_best': 0.6264150943396226, 'best_threshold': 0.607226550579071, 'lr': 1.367279159460548e-08}, {'epoch': 1, 'train_loss': 0.4947141755786207, 'train_ce': 0.4947141755786207, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.7444135584921207, 'val_auc': 0.6996231884057971, 'val_acc': 0.5660377358490566, 'val_acc_at_best': 0.6377358490566037, 'best_threshold': 0.23170112073421478, 'lr': 1.367279159460548e-05}, {'epoch': 2, 'train_loss': 0.38766542721953656, 'train_ce': 0.38766542721953656, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.7594445071411583, 'val_auc': 0.7325579710144928, 'val_acc': 0.569811320754717, 'val_acc_at_best': 0.6754716981132075, 'best_threshold': 0.1223657950758934, 'lr': 1.167045762445072e-05}]","{'clip.feature_layer': 'pre_proj', 'clip.l2_normalize_features': False, 'loss.ua_enabled': False, 'optimizer.lr': 1.367279159460548e-05, 'optimizer.weight_decay': 1e-05, 'temporal.num_layers': 1, 'temporal.dim_feedforward': 1024, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.3431339538686576, 'temporal.mlp_hidden_dim': 256}",/home/jovyan/ThesisPEFT/DeepfakeBench/peft/searches/runs/peft_gend_pilot12/trial_0004,,PRUNED
5,0.8150942028985508,2026-05-02 08:36:05.872561,2026-05-02 12:42:50.127852,0 days 04:06:44.255291,pre_proj,False,False,3.289828520266678e-05,0.0001,0.0,2048,0.14534341680430196,256,2,0.8150942028985508,"[{'epoch': 0, 'train_loss': 0.9218969709343381, 'train_ce': 0.9218969709343381, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.7599063606757038, 'val_auc': 0.505159420289855, 'val_acc': 0.4339622641509434, 'val_acc_at_best': 0.4811320754716981, 'best_threshold': 0.5859898924827576, 'lr': 3.289828520266678e-08}, {'epoch': 1, 'train_loss': 0.42624719677699935, 'train_ce': 0.42624719677699935, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.6881456235669694, 'val_auc': 0.7383333333333333, 'val_acc': 0.5943396226415094, 'val_acc_at_best': 0.6792452830188679, 'best_threshold': 0.14288842678070068, 'lr': 3.289828520266678e-05}, {'epoch': 2, 'train_loss': 0.3185427031862653, 'train_ce': 0.3185427031862653, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.5903677101405161, 'val_auc': 0.8116086956521739, 'val_acc': 0.7056603773584905, 'val_acc_at_best': 0.720754716981132, 'best_threshold': 0.26426342129707336, 'lr': 2.8080442879440754e-05}, {'epoch': 3, 'train_loss': 0.27670418947521186, 'train_ce': 0.27670418947521186, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.6169423315674066, 'val_auc': 0.8150942028985508, 'val_acc': 0.7132075471698113, 'val_acc_at_best': 0.730188679245283, 'best_threshold': 0.2011847198009491, 'lr': 1.644914260133339e-05}, {'epoch': 4, 'train_loss': 0.24774182503059922, 'train_ce': 0.24774182503059922, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.7664607050424477, 'val_auc': 0.8114565217391304, 'val_acc': 0.690566037735849, 'val_acc_at_best': 0.7132075471698113, 'best_threshold': 0.04161779209971428, 'lr': 4.817842323226024e-06}]","{'clip.feature_layer': 'pre_proj', 'clip.l2_normalize_features': False, 'loss.ua_enabled': False, 'optimizer.lr': 3.289828520266678e-05, 'optimizer.weight_decay': 0.0001, 'temporal.num_layers': 2, 'temporal.dim_feedforward': 2048, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.14534341680430196, 'temporal.mlp_hidden_dim': 256}",/home/jovyan/ThesisPEFT/DeepfakeBench/peft/searches/runs/peft_gend_pilot12/trial_0005,,COMPLETE
6,0.7511231884057971,2026-05-02 12:42:50.309891,2026-05-02 15:10:54.707013,0 days 02:28:04.397122,pre_proj,False,False,2.324163985129009e-05,1e-05,0.1,2048,0.10525144585410412,256,2,,"[{'epoch': 0, 'train_loss': 0.6512632514370812, 'train_ce': 0.6512632514370812, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.6968065138133067, 'val_auc': 0.43323913043478257, 'val_acc': 0.5113207547169811, 'val_acc_at_best': 0.439622641509434, 'best_threshold': 0.4077092111110687, 'lr': 2.324163985129009e-08}, {'epoch': 1, 'train_loss': 0.42342619673245485, 'train_ce': 0.42342619673245485, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.7311706524412587, 'val_auc': 0.6696739130434782, 'val_acc': 0.5773584905660377, 'val_acc_at_best': 0.6528301886792452, 'best_threshold': 0.15934817492961884, 'lr': 2.324163985129009e-05}, {'epoch': 2, 'train_loss': 0.3196706623294287, 'train_ce': 0.3196706623294287, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.8472822483699277, 'val_auc': 0.7511231884057971, 'val_acc': 0.6169811320754717, 'val_acc_at_best': 0.7, 'best_threshold': 0.08779820054769516, 'lr': 1.9837980498016407e-05}]","{'clip.feature_layer': 'pre_proj', 'clip.l2_normalize_features': False, 'loss.ua_enabled': False, 'optimizer.lr': 2.324163985129009e-05, 'optimizer.weight_decay': 1e-05, 'temporal.num_layers': 2, 'temporal.dim_feedforward': 2048, 'temporal.attn_dropout': 0.1, 'temporal.mlp_dropout': 0.10525144585410412, 'temporal.mlp_hidden_dim': 256}",/home/jovyan/ThesisPEFT/DeepfakeBench/peft/searches/runs/peft_gend_pilot12/trial_0006,,PRUNED
7,0.8099275362318841,2026-05-02 15:10:54.922345,2026-05-02 19:17:37.478937,0 days 04:06:42.556592,pre_proj,False,False,3.981609797764976e-05,0.0001,0.0,1024,0.11157283262237103,256,2,0.8099275362318841,"[{'epoch': 0, 'train_loss': 0.7045738830831316, 'train_ce': 0.7045738830831316, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.6911283504288152, 'val_auc': 0.48384057971014494, 'val_acc': 0.5528301886792453, 'val_acc_at_best': 0.5113207547169811, 'best_threshold': 0.46821311116218567, 'lr': 3.981609797764976e-08}, {'epoch': 1, 'train_loss': 0.399100023764703, 'train_ce': 0.399100023764703, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.6262263327274682, 'val_auc': 0.7387101449275362, 'val_acc': 0.6716981132075471, 'val_acc_at_best': 0.6716981132075471, 'best_threshold': 0.21076630055904388, 'lr': 3.981609797764976e-05}, {'epoch': 2, 'train_loss': 0.3011141214064426, 'train_ce': 0.3011141214064426, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.6632335320817975, 'val_auc': 0.8099202898550725, 'val_acc': 0.6830188679245283, 'val_acc_at_best': 0.7188679245283018, 'best_threshold': 0.08874128758907318, 'lr': 3.398516542901694e-05}, {'epoch': 3, 'train_loss': 0.2578959936959048, 'train_ce': 0.2578959936959048, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.7699560012352072, 'val_auc': 0.8099275362318841, 'val_acc': 0.6886792452830188, 'val_acc_at_best': 0.720754716981132, 'best_threshold': 0.04377273842692375, 'lr': 1.9908048988824878e-05}, {'epoch': 4, 'train_loss': 0.22653614915571071, 'train_ce': 0.22653614915571071, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.8200923711869795, 'val_auc': 0.7980869565217392, 'val_acc': 0.6660377358490566, 'val_acc_at_best': 0.7188679245283018, 'best_threshold': 0.0413459949195385, 'lr': 5.830932548632818e-06}]","{'clip.feature_layer': 'pre_proj', 'clip.l2_normalize_features': False, 'loss.ua_enabled': False, 'optimizer.lr': 3.981609797764976e-05, 'optimizer.weight_decay': 0.0001, 'temporal.num_layers': 2, 'temporal.dim_feedforward': 1024, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.11157283262237103, 'temporal.mlp_hidden_dim': 256}",/home/jovyan/ThesisPEFT/DeepfakeBench/peft/searches/runs/peft_gend_pilot12/trial_0007,,COMPLETE
8,0.7557391304347826,2026-05-02 19:17:37.663771,2026-05-02 21:45:43.829075,0 days 02:28:06.165304,pre_proj,False,False,2.883777536423472e-05,1e-05,0.0,2048,0.2447951362914922,512,2,,"[{'epoch': 0, 'train_loss': 0.8408150786823697, 'train_ce': 0.8408150786823697, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.7262754375079893, 'val_auc': 0.6225144927536232, 'val_acc': 0.4358490566037736, 'val_acc_at_best': 0.6094339622641509, 'best_threshold': 0.590779185295105, 'lr': 2.883777536423472e-08}, {'epoch': 1, 'train_loss': 0.4376549320254061, 'train_ce': 0.4376549320254061, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.7616956477176469, 'val_auc': 0.7065942028985508, 'val_acc': 0.569811320754717, 'val_acc_at_best': 0.6698113207547169, 'best_threshold': 0.12018042057752609, 'lr': 2.883777536423472e-05}, {'epoch': 2, 'train_loss': 0.3222186354268342, 'train_ce': 0.3222186354268342, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.6845130580635566, 'val_auc': 0.7557391304347826, 'val_acc': 0.6264150943396226, 'val_acc_at_best': 0.6943396226415094, 'best_threshold': 0.17838266491889954, 'lr': 2.4614580939309725e-05}]","{'clip.feature_layer': 'pre_proj', 'clip.l2_normalize_features': False, 'loss.ua_enabled': False, 'optimizer.lr': 2.883777536423472e-05, 'optimizer.weight_decay': 1e-05, 'temporal.num_layers': 2, 'temporal.dim_feedforward': 2048, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.2447951362914922, 'temporal.mlp_hidden_dim': 512}",/home/jovyan/ThesisPEFT/DeepfakeBench/peft/searches/runs/peft_gend_pilot12/trial_0008,,PRUNED
9,0.7570797101449276,2026-05-02 21:45:44.062087,2026-05-03 00:13:52.818433,0 days 02:28:08.756346,pre_proj,False,False,3.381559881156867e-05,0.0005,0.0,2048,0.326305900109113,256,4,,"[{'epoch': 0, 'train_loss': 1.2482521120707195, 'train_ce': 1.2482521120707195, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.9828102845065999, 'val_auc': 0.3248768115942029, 'val_acc': 0.4339622641509434, 'val_acc_at_best': 0.5660377358490566, 'best_threshold': inf, 'lr': 3.381559881156867e-08}, {'epoch': 1, 'train_loss': 0.4528080827411678, 'train_ce': 0.4528080827411678, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.6474514719450248, 'val_auc': 0.6840942028985507, 'val_acc': 0.5867924528301887, 'val_acc_at_best': 0.6320754716981132, 'best_threshold': 0.20593424141407013, 'lr': 3.381559881156867e-05}, {'epoch': 2, 'train_loss': 0.3391675217573841, 'train_ce': 0.3391675217573841, 'train_align': 0.0, 'train_uniform': 0.0, 'val_loss': 0.6018817941816348, 'val_auc': 0.7570797101449276, 'val_acc': 0.6792452830188679, 'val_acc_at_best': 0.6849056603773584, 'best_threshold': 0.3132621645927429, 'lr': 2.8863419020556315e-05}]","{'clip.feature_layer': 'pre_proj', 'clip.l2_normalize_features': False, 'loss.ua_enabled': False, 'optimizer.lr': 3.381559881156867e-05, 'optimizer.weight_decay': 0.0005, 'temporal.num_layers': 4, 'temporal.dim_feedforward': 2048, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.326305900109113, 'temporal.mlp_hidden_dim': 256}",/home/jovyan/ThesisPEFT/DeepfakeBench/peft/searches/runs/peft_gend_pilot12/trial_0009,,PRUNED
