2026-05-01 11:32:26,478 - === Starting study 'peft_gend_pilot12' ===
2026-05-01 11:32:26,478 - Search config: /home/jovyan/ThesisPEFT/DeepfakeBench/peft/search_configs/peft_gend_pilot12.yaml
2026-05-01 11:32:26,478 - Search config values: {'study_name': 'peft_gend_pilot12', 'n_trials': 12, 'epochs': 5, 'storage': 'peft/searches/peft_optuna.db', 'output_dir': 'peft/searches/runs', 'sampler': {'type': 'tpe', 'seed': 1024, 'startup_trials': 4}, 'pruner': {'type': 'median', 'warmup_epochs': 2}, 'anchors': {'enabled': True}, 'training': {'tag': 'peft_ff_cdfv2val', 'root_dir': None, 'split_file': 'datasets/splits/FaceForensics++.csv', 'rearrange_json': 'preprocessing/rearrangements/dataset_json_mtcnn/FaceForensics++.json', 'dataset_name': 'FaceForensics++', 'num_frames': {'train': 32, 'val': 32}, 'val_split_file': 'datasets/splits/Celeb-DF-v2-clean.csv', 'val_rearrange_json': 'preprocessing/rearrangements/dataset_json_mtcnn/Celeb-DF-v2.json', 'val_dataset_name': 'Celeb-DF-v2', 'val_split': 'val', 'clip': {'name': 'ViT-L-14-336-quickgelu', 'pretrained': 'openai', 'ln_scope': 'all', 'feature_layer': 'pre_proj', 'l2_normalize_features': True, 'grad_checkpointing': True, 'amp_dtype': 'fp16'}, 'temporal': {'clip_embed_dim': 1024, 'num_frames': 32, 'num_classes': 2, 'num_layers': 1, 'n_heads': 8, 'dim_feedforward': 1024, 'attn_dropout': 0.0, 'mlp_dropout': 0.25, 'mlp_hidden_dim': 256}, 'optimizer': {'type': 'adamw', 'lr': 2e-05, 'weight_decay': 0.0001, 'beta1': 0.9, 'beta2': 0.999, 'eps': 1e-08}, 'loss': {'ua_enabled': True, 'alignment_weight': 0.1, 'uniformity_weight': 0.5}, 'lr_scheduler': 'cosine_warmup', 'num_epochs': 5, 'warmup_epochs': 1, 'batchSize': {'train': 8, 'val': 8}, 'grad_accum_steps': 2, 'workers': 16, 'seed': 1024, 'device': 'cuda', 'log_dir': 'peft/trained', 'save_ckpt': True, 'metric_scoring': 'auc', 'max_videos': None, 'search_space': {'clip.feature_layer': {'type': 'categorical', 'choices': ['pre_proj', 'block_16']}, 'clip.l2_normalize_features': {'type': 'categorical', 'choices': [True, False]}, 'loss.ua_enabled': {'type': 'categorical', 'choices': [True, False]}, 'optimizer.lr': {'type': 'float', 'range': [1e-05, 4e-05], 'log': True}, 'optimizer.weight_decay': {'type': 'categorical', 'choices': [0.0, 1e-05, 0.0001, 0.0005]}, 'temporal.num_layers': {'type': 'categorical', 'choices': [1, 2, 4]}, 'temporal.dim_feedforward': {'type': 'categorical', 'choices': [1024, 2048]}, 'temporal.attn_dropout': {'type': 'categorical', 'choices': [0.0, 0.1]}, 'temporal.mlp_dropout': {'type': 'float', 'range': [0.1, 0.4]}, 'temporal.mlp_hidden_dim': {'type': 'categorical', 'choices': [256, 512]}}}}
2026-05-01 11:32:26,478 - Training config source: embedded search config
2026-05-01 11:32:26,478 - Search space: {'clip.feature_layer': {'type': 'categorical', 'choices': ['pre_proj', 'block_16']}, 'clip.l2_normalize_features': {'type': 'categorical', 'choices': [True, False]}, 'loss.ua_enabled': {'type': 'categorical', 'choices': [True, False]}, 'optimizer.lr': {'type': 'float', 'range': [1e-05, 4e-05], 'log': True}, 'optimizer.weight_decay': {'type': 'categorical', 'choices': [0.0, 1e-05, 0.0001, 0.0005]}, 'temporal.num_layers': {'type': 'categorical', 'choices': [1, 2, 4]}, 'temporal.dim_feedforward': {'type': 'categorical', 'choices': [1024, 2048]}, 'temporal.attn_dropout': {'type': 'categorical', 'choices': [0.0, 0.1]}, 'temporal.mlp_dropout': {'type': 'float', 'range': [0.1, 0.4]}, 'temporal.mlp_hidden_dim': {'type': 'categorical', 'choices': [256, 512]}}
2026-05-01 11:32:26,478 - Anchors: [{'clip.feature_layer': 'pre_proj', 'optimizer.lr': 2e-05, 'optimizer.weight_decay': 0.0001, 'temporal.num_layers': 1, 'temporal.dim_feedforward': 1024, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.25, 'temporal.mlp_hidden_dim': 256, 'clip.l2_normalize_features': True, 'loss.ua_enabled': True}, {'clip.feature_layer': 'pre_proj', 'optimizer.lr': 2e-05, 'optimizer.weight_decay': 0.0001, 'temporal.num_layers': 1, 'temporal.dim_feedforward': 1024, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.25, 'temporal.mlp_hidden_dim': 256, 'clip.l2_normalize_features': True, 'loss.ua_enabled': False}, {'clip.feature_layer': 'pre_proj', 'optimizer.lr': 2e-05, 'optimizer.weight_decay': 0.0001, 'temporal.num_layers': 1, 'temporal.dim_feedforward': 1024, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.25, 'temporal.mlp_hidden_dim': 256, 'clip.l2_normalize_features': False, 'loss.ua_enabled': True}, {'clip.feature_layer': 'pre_proj', 'optimizer.lr': 2e-05, 'optimizer.weight_decay': 0.0001, 'temporal.num_layers': 1, 'temporal.dim_feedforward': 1024, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.25, 'temporal.mlp_hidden_dim': 256, 'clip.l2_normalize_features': False, 'loss.ua_enabled': False}]
2026-05-01 15:41:09,725 - [trial 0000] state=COMPLETE  value=0.7734 dur=14923.1s best=0.7734 (#0) params={'clip.feature_layer': 'pre_proj', 'clip.l2_normalize_features': True, 'loss.ua_enabled': True, 'optimizer.lr': 2e-05, 'optimizer.weight_decay': 0.0001, 'temporal.num_layers': 1, 'temporal.dim_feedforward': 1024, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.25, 'temporal.mlp_hidden_dim': 256}
2026-05-01 20:30:10,937 - [trial 0001] state=COMPLETE  value=0.7767 dur=17341.0s best=0.7767 (#1) params={'clip.feature_layer': 'pre_proj', 'clip.l2_normalize_features': True, 'loss.ua_enabled': False, 'optimizer.lr': 2e-05, 'optimizer.weight_decay': 0.0001, 'temporal.num_layers': 1, 'temporal.dim_feedforward': 1024, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.25, 'temporal.mlp_hidden_dim': 256}
2026-05-02 01:18:56,859 - [trial 0002] state=COMPLETE  value=0.7729 dur=17325.7s best=0.7767 (#1) params={'clip.feature_layer': 'pre_proj', 'clip.l2_normalize_features': False, 'loss.ua_enabled': True, 'optimizer.lr': 2e-05, 'optimizer.weight_decay': 0.0001, 'temporal.num_layers': 1, 'temporal.dim_feedforward': 1024, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.25, 'temporal.mlp_hidden_dim': 256}
2026-05-02 06:08:10,572 - [trial 0003] state=COMPLETE  value=0.7919 dur=17353.5s best=0.7919 (#3) params={'clip.feature_layer': 'pre_proj', 'clip.l2_normalize_features': False, 'loss.ua_enabled': False, 'optimizer.lr': 2e-05, 'optimizer.weight_decay': 0.0001, 'temporal.num_layers': 1, 'temporal.dim_feedforward': 1024, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.25, 'temporal.mlp_hidden_dim': 256}
2026-05-02 08:36:05,866 - [trial 0004] state=PRUNED    value=0.7326 dur=8875.1s best=0.7919 (#3) params={'clip.feature_layer': 'pre_proj', 'clip.l2_normalize_features': False, 'loss.ua_enabled': False, 'optimizer.lr': 1.367279159460548e-05, 'optimizer.weight_decay': 1e-05, 'temporal.num_layers': 1, 'temporal.dim_feedforward': 1024, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.3431339538686576, 'temporal.mlp_hidden_dim': 256}
2026-05-02 12:42:50,299 - [trial 0005] state=COMPLETE  value=0.8151 dur=14804.3s best=0.8151 (#5) params={'clip.feature_layer': 'pre_proj', 'clip.l2_normalize_features': False, 'loss.ua_enabled': False, 'optimizer.lr': 3.289828520266678e-05, 'optimizer.weight_decay': 0.0001, 'temporal.num_layers': 2, 'temporal.dim_feedforward': 2048, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.14534341680430196, 'temporal.mlp_hidden_dim': 256}
2026-05-02 15:10:54,916 - [trial 0006] state=PRUNED    value=0.7511 dur=8884.4s best=0.8151 (#5) params={'clip.feature_layer': 'pre_proj', 'clip.l2_normalize_features': False, 'loss.ua_enabled': False, 'optimizer.lr': 2.324163985129009e-05, 'optimizer.weight_decay': 1e-05, 'temporal.num_layers': 2, 'temporal.dim_feedforward': 2048, 'temporal.attn_dropout': 0.1, 'temporal.mlp_dropout': 0.10525144585410412, 'temporal.mlp_hidden_dim': 256}
2026-05-02 19:17:37,657 - [trial 0007] state=COMPLETE  value=0.8099 dur=14802.6s best=0.8151 (#5) params={'clip.feature_layer': 'pre_proj', 'clip.l2_normalize_features': False, 'loss.ua_enabled': False, 'optimizer.lr': 3.981609797764976e-05, 'optimizer.weight_decay': 0.0001, 'temporal.num_layers': 2, 'temporal.dim_feedforward': 1024, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.11157283262237103, 'temporal.mlp_hidden_dim': 256}
2026-05-02 21:45:44,055 - [trial 0008] state=PRUNED    value=0.7557 dur=8886.2s best=0.8151 (#5) params={'clip.feature_layer': 'pre_proj', 'clip.l2_normalize_features': False, 'loss.ua_enabled': False, 'optimizer.lr': 2.883777536423472e-05, 'optimizer.weight_decay': 1e-05, 'temporal.num_layers': 2, 'temporal.dim_feedforward': 2048, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.2447951362914922, 'temporal.mlp_hidden_dim': 512}
2026-05-03 00:13:52,978 - [trial 0009] state=PRUNED    value=0.7571 dur=8888.8s best=0.8151 (#5) params={'clip.feature_layer': 'pre_proj', 'clip.l2_normalize_features': False, 'loss.ua_enabled': False, 'optimizer.lr': 3.381559881156867e-05, 'optimizer.weight_decay': 0.0005, 'temporal.num_layers': 4, 'temporal.dim_feedforward': 2048, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.326305900109113, 'temporal.mlp_hidden_dim': 256}
2026-05-03 02:41:58,594 - [trial 0010] state=PRUNED    value=0.7337 dur=8885.5s best=0.8151 (#5) params={'clip.feature_layer': 'pre_proj', 'clip.l2_normalize_features': False, 'loss.ua_enabled': False, 'optimizer.lr': 1.464616247298684e-05, 'optimizer.weight_decay': 0.0001, 'temporal.num_layers': 2, 'temporal.dim_feedforward': 2048, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.14588915365595706, 'temporal.mlp_hidden_dim': 256}
2026-05-03 06:48:30,875 - [trial 0011] state=COMPLETE  value=0.8339 dur=14792.2s best=0.8339 (#11) params={'clip.feature_layer': 'pre_proj', 'clip.l2_normalize_features': False, 'loss.ua_enabled': False, 'optimizer.lr': 3.526898898291157e-05, 'optimizer.weight_decay': 0.0001, 'temporal.num_layers': 2, 'temporal.dim_feedforward': 1024, 'temporal.attn_dropout': 0.0, 'temporal.mlp_dropout': 0.10262369664587076, 'temporal.mlp_hidden_dim': 256}
2026-05-03 06:48:30,960 - === Study 'peft_gend_pilot12' complete ===
