2026-04-21 20:43:09,466 - INFO - === WildDeepfakes preprocess @ 2026-04-21T20:43:09 ===
2026-04-21 20:43:09,467 - INFO - dataset_path=/home/max-andreasen/GitHub/DeepfakeBench/datasets/rgb/WildDeepfakes  num_frames=96
2026-04-21 20:43:09,501 - INFO - 115 tars found in /home/max-andreasen/GitHub/DeepfakeBench/datasets/rgb/WildDeepfakes/fake_test
2026-04-21 20:43:09,968 - WARNING - 101.tar.gz: video 144 has 58 frames (< 96), skipping
2026-04-21 20:43:12,703 - WARNING - 10.tar.gz: video 95 has 95 frames (< 96), skipping
2026-04-21 20:43:15,735 - WARNING - 102.tar.gz: video 5 has 68 frames (< 96), skipping
2026-04-21 20:43:21,964 - WARNING - 107.tar.gz: video 90 has 90 frames (< 96), skipping
2026-04-21 20:43:21,964 - WARNING - 107.tar.gz: video 66 has 94 frames (< 96), skipping
2026-04-21 20:43:24,431 - WARNING - 104.tar.gz: video 64 has 95 frames (< 96), skipping
2026-04-21 20:43:24,774 - WARNING - 108.tar.gz: video 1 has 79 frames (< 96), skipping
2026-04-21 20:43:24,774 - WARNING - 108.tar.gz: video 0 has 53 frames (< 96), skipping
2026-04-21 20:43:33,110 - WARNING - 113.tar.gz: video 6 has 93 frames (< 96), skipping
2026-04-21 20:43:47,859 - WARNING - 14.tar.gz: video 38 has 91 frames (< 96), skipping
2026-04-21 20:44:04,187 - WARNING - 20.tar.gz: video 2 has 92 frames (< 96), skipping
2026-04-21 20:44:04,187 - WARNING - 20.tar.gz: video 30 has 52 frames (< 96), skipping
2026-04-21 20:44:15,296 - WARNING - 13.tar.gz: video 2 has 66 frames (< 96), skipping
2026-04-21 20:44:15,732 - WARNING - 2.tar.gz: video 79 has 65 frames (< 96), skipping
2026-04-21 20:44:17,981 - WARNING - 2.tar.gz: video 50 has 74 frames (< 96), skipping
2026-04-21 20:44:17,981 - WARNING - 2.tar.gz: video 9 has 52 frames (< 96), skipping
2026-04-21 20:44:43,843 - WARNING - 3.tar.gz: video 120 has 93 frames (< 96), skipping
2026-04-21 20:44:46,698 - WARNING - 26.tar.gz: video 87 has 56 frames (< 96), skipping
2026-04-21 20:44:49,314 - WARNING - 26.tar.gz: video 0 has 66 frames (< 96), skipping
2026-04-21 20:44:52,929 - WARNING - 34.tar.gz: video 26 has 94 frames (< 96), skipping
2026-04-21 20:44:52,929 - WARNING - 34.tar.gz: video 32 has 85 frames (< 96), skipping
2026-04-21 20:44:53,888 - WARNING - 32.tar.gz: video 181 has 64 frames (< 96), skipping
2026-04-21 20:44:53,888 - WARNING - 32.tar.gz: video 168 has 64 frames (< 96), skipping
2026-04-21 20:44:53,888 - WARNING - 32.tar.gz: video 5 has 67 frames (< 96), skipping
2026-04-21 20:44:53,888 - WARNING - 32.tar.gz: video 87 has 74 frames (< 96), skipping
2026-04-21 20:44:53,888 - WARNING - 32.tar.gz: video 315 has 82 frames (< 96), skipping
2026-04-21 20:44:53,888 - WARNING - 32.tar.gz: video 170 has 63 frames (< 96), skipping
2026-04-21 20:44:53,888 - WARNING - 32.tar.gz: video 166 has 86 frames (< 96), skipping
2026-04-21 20:44:55,183 - WARNING - 33.tar.gz: video 330 has 72 frames (< 96), skipping
2026-04-21 20:45:05,865 - WARNING - 4.tar.gz: video 48 has 74 frames (< 96), skipping
2026-04-21 20:45:05,865 - WARNING - 4.tar.gz: video 183 has 71 frames (< 96), skipping
2026-04-21 20:45:05,865 - WARNING - 4.tar.gz: video 128 has 82 frames (< 96), skipping
2026-04-21 20:45:05,865 - WARNING - 4.tar.gz: video 432 has 58 frames (< 96), skipping
2026-04-21 20:45:05,866 - WARNING - 4.tar.gz: video 28 has 76 frames (< 96), skipping
2026-04-21 20:45:05,866 - WARNING - 4.tar.gz: video 313 has 62 frames (< 96), skipping
2026-04-21 20:45:05,866 - WARNING - 4.tar.gz: video 388 has 67 frames (< 96), skipping
2026-04-21 20:45:05,866 - WARNING - 4.tar.gz: video 394 has 67 frames (< 96), skipping
2026-04-21 20:45:07,867 - WARNING - 42.tar.gz: video 34 has 67 frames (< 96), skipping
2026-04-21 20:45:08,358 - WARNING - 41.tar.gz: video 4 has 95 frames (< 96), skipping
2026-04-21 20:45:09,841 - WARNING - 37.tar.gz: video 127 has 92 frames (< 96), skipping
2026-04-21 20:45:30,409 - WARNING - 5.tar.gz: video 189 has 81 frames (< 96), skipping
2026-04-21 20:45:30,410 - WARNING - 5.tar.gz: video 150 has 55 frames (< 96), skipping
2026-04-21 20:45:30,410 - WARNING - 5.tar.gz: video 235 has 60 frames (< 96), skipping
2026-04-21 20:45:34,699 - WARNING - 51.tar.gz: video 8 has 78 frames (< 96), skipping
2026-04-21 20:45:34,699 - WARNING - 51.tar.gz: video 4 has 53 frames (< 96), skipping
2026-04-21 20:45:37,105 - WARNING - 44.tar.gz: video 662 has 93 frames (< 96), skipping
2026-04-21 20:45:43,940 - WARNING - 52.tar.gz: video 4 has 92 frames (< 96), skipping
2026-04-21 20:45:59,590 - WARNING - 59.tar.gz: video 63 has 95 frames (< 96), skipping
2026-04-21 20:45:59,590 - WARNING - 59.tar.gz: video 62 has 95 frames (< 96), skipping
2026-04-21 20:46:03,972 - WARNING - 6.tar.gz: video 795 has 95 frames (< 96), skipping
2026-04-21 20:46:05,452 - WARNING - 60.tar.gz: video 4 has 80 frames (< 96), skipping
2026-04-21 20:46:07,502 - WARNING - 58.tar.gz: video 101 has 91 frames (< 96), skipping
2026-04-21 20:46:15,576 - WARNING - 61.tar.gz: video 93 has 91 frames (< 96), skipping
2026-04-21 20:46:15,576 - WARNING - 61.tar.gz: video 20 has 90 frames (< 96), skipping
2026-04-21 20:46:33,187 - WARNING - 67.tar.gz: video 17 has 90 frames (< 96), skipping
2026-04-21 20:46:34,106 - WARNING - 68.tar.gz: video 10 has 89 frames (< 96), skipping
2026-04-21 20:46:34,720 - WARNING - 71.tar.gz: video 175 has 91 frames (< 96), skipping
2026-04-21 20:46:37,401 - WARNING - 69.tar.gz: video 5 has 93 frames (< 96), skipping
2026-04-21 20:46:37,562 - WARNING - 66.tar.gz: video 100 has 93 frames (< 96), skipping
2026-04-21 20:46:45,263 - WARNING - 73.tar.gz: video 861 has 92 frames (< 96), skipping
2026-04-21 20:47:00,748 - WARNING - 8.tar.gz: video 183 has 57 frames (< 96), skipping
2026-04-21 20:47:00,748 - WARNING - 8.tar.gz: video 168 has 65 frames (< 96), skipping
2026-04-21 20:47:03,818 - WARNING - 7.tar.gz: video 893 has 74 frames (< 96), skipping
2026-04-21 20:47:07,608 - WARNING - 80.tar.gz: video 3 has 52 frames (< 96), skipping
2026-04-21 20:47:08,478 - WARNING - 8.tar.gz: video 148 has 85 frames (< 96), skipping
2026-04-21 20:47:10,537 - WARNING - 82.tar.gz: video 33 has 95 frames (< 96), skipping
2026-04-21 20:47:12,994 - WARNING - 84.tar.gz: video 18 has 77 frames (< 96), skipping
2026-04-21 20:47:13,961 - WARNING - 7.tar.gz: video 208 has 70 frames (< 96), skipping
2026-04-21 20:47:25,635 - WARNING - 9.tar.gz: video 84 has 92 frames (< 96), skipping
2026-04-21 20:47:32,376 - WARNING - 90.tar.gz: video 0 has 90 frames (< 96), skipping
2026-04-21 20:47:33,969 - WARNING - 91.tar.gz: video 33 has 90 frames (< 96), skipping
2026-04-21 20:47:38,151 - WARNING - 96.tar.gz: video 181 has 91 frames (< 96), skipping
2026-04-21 20:47:38,161 - WARNING - 97.tar.gz: video 32 has 86 frames (< 96), skipping
2026-04-21 20:47:42,750 - WARNING - 95.tar.gz: video 66 has 55 frames (< 96), skipping
2026-04-21 20:47:42,750 - WARNING - 95.tar.gz: video 140 has 94 frames (< 96), skipping
2026-04-21 20:47:42,750 - WARNING - 95.tar.gz: video 70 has 56 frames (< 96), skipping
2026-04-21 20:47:50,587 - INFO - fake_test: done in 4.68 min
2026-04-21 20:47:50,805 - INFO - 592 tars found in /home/max-andreasen/GitHub/DeepfakeBench/datasets/rgb/WildDeepfakes/fake_train
2026-04-21 20:47:53,259 - WARNING - 10.tar.gz: video 2 has 69 frames (< 96), skipping
2026-04-21 20:48:02,047 - WARNING - 106.tar.gz: video 408 has 78 frames (< 96), skipping
2026-04-21 20:48:02,047 - WARNING - 106.tar.gz: video 130 has 64 frames (< 96), skipping
2026-04-21 20:48:02,047 - WARNING - 106.tar.gz: video 134 has 53 frames (< 96), skipping
2026-04-21 20:48:19,814 - WARNING - 106.tar.gz: video 594 has 55 frames (< 96), skipping
2026-04-21 20:48:19,814 - WARNING - 106.tar.gz: video 31 has 68 frames (< 96), skipping
2026-04-21 20:48:23,749 - WARNING - 11.tar.gz: video 122 has 58 frames (< 96), skipping
2026-04-21 20:48:23,750 - WARNING - 11.tar.gz: video 163 has 83 frames (< 96), skipping
2026-04-21 20:48:26,199 - WARNING - 11.tar.gz: video 165 has 66 frames (< 96), skipping
2026-04-21 20:48:39,387 - WARNING - 111.tar.gz: video 310 has 51 frames (< 96), skipping
2026-04-21 20:48:43,363 - WARNING - 114.tar.gz: video 8 has 74 frames (< 96), skipping
2026-04-21 20:48:43,363 - WARNING - 114.tar.gz: video 873 has 95 frames (< 96), skipping
2026-04-21 20:48:43,363 - WARNING - 114.tar.gz: video 877 has 59 frames (< 96), skipping
2026-04-21 20:48:43,363 - WARNING - 114.tar.gz: video 12 has 72 frames (< 96), skipping
2026-04-21 20:48:43,363 - WARNING - 114.tar.gz: video 133 has 57 frames (< 96), skipping
2026-04-21 20:48:43,971 - WARNING - 111.tar.gz: video 287 has 76 frames (< 96), skipping
2026-04-21 20:48:44,526 - WARNING - 114.tar.gz: video 589 has 55 frames (< 96), skipping
2026-04-21 20:48:44,526 - WARNING - 114.tar.gz: video 879 has 73 frames (< 96), skipping
2026-04-21 20:48:44,604 - WARNING - 113.tar.gz: video 64 has 52 frames (< 96), skipping
2026-04-21 20:48:44,604 - WARNING - 113.tar.gz: video 40 has 94 frames (< 96), skipping
2026-04-21 20:48:51,288 - WARNING - 117.tar.gz: video 78 has 54 frames (< 96), skipping
2026-04-21 20:48:51,288 - WARNING - 117.tar.gz: video 136 has 56 frames (< 96), skipping
2026-04-21 20:48:53,002 - WARNING - 118.tar.gz: video 83 has 52 frames (< 96), skipping
2026-04-21 20:48:53,002 - WARNING - 118.tar.gz: video 59 has 65 frames (< 96), skipping
2026-04-21 20:48:53,860 - WARNING - 117.tar.gz: video 62 has 77 frames (< 96), skipping
2026-04-21 20:48:53,860 - WARNING - 117.tar.gz: video 26 has 56 frames (< 96), skipping
2026-04-21 20:48:53,860 - WARNING - 117.tar.gz: video 53 has 85 frames (< 96), skipping
2026-04-21 20:48:53,860 - WARNING - 117.tar.gz: video 127 has 68 frames (< 96), skipping
2026-04-21 20:48:53,860 - WARNING - 117.tar.gz: video 15 has 62 frames (< 96), skipping
2026-04-21 20:49:01,163 - WARNING - 12.tar.gz: video 85 has 54 frames (< 96), skipping
2026-04-21 20:49:01,164 - WARNING - 12.tar.gz: video 110 has 94 frames (< 96), skipping
2026-04-21 20:49:10,504 - WARNING - 115.tar.gz: video 11 has 52 frames (< 96), skipping
2026-04-21 20:49:12,076 - WARNING - 12.tar.gz: video 72 has 82 frames (< 96), skipping
2026-04-21 20:49:12,708 - WARNING - 12.tar.gz: video 97 has 73 frames (< 96), skipping
2026-04-21 20:49:13,028 - WARNING - 121.tar.gz: video 81 has 52 frames (< 96), skipping
2026-04-21 20:49:13,028 - WARNING - 121.tar.gz: video 6 has 88 frames (< 96), skipping
2026-04-21 20:49:18,163 - WARNING - 122.tar.gz: video 131 has 65 frames (< 96), skipping
2026-04-21 20:49:18,163 - WARNING - 122.tar.gz: video 34 has 56 frames (< 96), skipping
2026-04-21 20:49:18,163 - WARNING - 122.tar.gz: video 106 has 54 frames (< 96), skipping
2026-04-21 20:49:18,163 - WARNING - 122.tar.gz: video 72 has 60 frames (< 96), skipping
2026-04-21 20:49:18,163 - WARNING - 122.tar.gz: video 40 has 92 frames (< 96), skipping
2026-04-21 20:49:18,163 - WARNING - 122.tar.gz: video 99 has 60 frames (< 96), skipping
2026-04-21 20:49:19,216 - WARNING - 124.tar.gz: video 63 has 63 frames (< 96), skipping
2026-04-21 20:49:25,343 - WARNING - 122.tar.gz: video 104 has 59 frames (< 96), skipping
2026-04-21 20:49:26,630 - WARNING - 125.tar.gz: video 89 has 53 frames (< 96), skipping
2026-04-21 20:49:26,630 - WARNING - 125.tar.gz: video 294 has 73 frames (< 96), skipping
2026-04-21 20:49:26,630 - WARNING - 125.tar.gz: video 307 has 63 frames (< 96), skipping
2026-04-21 20:49:26,630 - WARNING - 125.tar.gz: video 228 has 86 frames (< 96), skipping
2026-04-21 20:49:26,630 - WARNING - 125.tar.gz: video 196 has 65 frames (< 96), skipping
2026-04-21 20:49:26,630 - WARNING - 125.tar.gz: video 184 has 62 frames (< 96), skipping
2026-04-21 20:49:32,510 - WARNING - 128.tar.gz: video 98 has 61 frames (< 96), skipping
2026-04-21 20:49:32,520 - WARNING - 128.tar.gz: video 42 has 71 frames (< 96), skipping
2026-04-21 20:49:32,520 - WARNING - 128.tar.gz: video 1 has 57 frames (< 96), skipping
