number,value,datetime_start,datetime_complete,duration,params_lr,params_lr_scheduler,params_mlp_dropout,params_mlp_hidden_dim,params_optimizer_type,params_warmup_epochs,params_weight_decay,state
0,0.7651530612244898,2026-04-20 17:44:34.422595,2026-04-20 17:44:45.078673,0 days 00:00:10.656078,0.001570297088405539,constant,0.5849549260809972,128,adam,,0.0002481040974867811,COMPLETE
1,0.4846428571428572,2026-04-20 17:44:45.192965,2026-04-20 17:44:55.013592,0 days 00:00:09.820627,3.511356313970405e-05,cosine,0.28318092164684583,256,adamw,,5.415244119402541e-06,COMPLETE
2,0.4894834183673469,2026-04-20 17:44:55.134901,2026-04-20 17:45:04.833218,0 days 00:00:09.698317,3.972110727381908e-05,cosine_warmup,0.2523068845866854,512,adam,4.0,0.00011400863701127338,COMPLETE
3,0.49381377551020406,2026-04-20 17:45:04.963546,2026-04-20 17:45:14.693636,0 days 00:00:09.730090,0.00020914981329035596,cosine_warmup,0.19242722776276353,128,adam,5.0,3.0771802712506896e-06,COMPLETE
4,0.8752551020408164,2026-04-20 17:45:14.805509,2026-04-20 17:45:24.775445,0 days 00:00:09.969936,0.006584106160121612,cosine,0.23567451588694796,1024,adamw,,0.003795853142670641,COMPLETE
5,0.7651530612244898,2026-04-20 17:51:04.408286,2026-04-20 17:51:15.194001,0 days 00:00:10.785715,0.001570297088405539,constant,0.5849549260809972,128,adam,,0.0002481040974867811,COMPLETE
6,0.4846428571428572,2026-04-20 17:51:15.328773,2026-04-20 17:51:24.991600,0 days 00:00:09.662827,3.511356313970405e-05,cosine,0.28318092164684583,256,adamw,,5.415244119402541e-06,COMPLETE
7,0.4894834183673469,2026-04-20 17:51:25.127314,2026-04-20 17:51:34.742628,0 days 00:00:09.615314,3.972110727381908e-05,cosine_warmup,0.2523068845866854,512,adam,4.0,0.00011400863701127338,COMPLETE
8,0.49381377551020406,2026-04-20 17:51:34.878265,2026-04-20 17:51:44.616901,0 days 00:00:09.738636,0.00020914981329035596,cosine_warmup,0.19242722776276353,128,adam,5.0,3.0771802712506896e-06,COMPLETE
9,0.8752551020408164,2026-04-20 17:51:44.771699,2026-04-20 17:51:54.661234,0 days 00:00:09.889535,0.006584106160121612,cosine,0.23567451588694796,1024,adamw,,0.003795853142670641,COMPLETE
10,0.738533163265306,2026-04-20 17:52:38.800530,2026-04-20 17:52:49.527906,0 days 00:00:10.727376,0.0007148692529958944,cosine,0.4964767967132939,1024,adamw,,0.0001596492827798315,COMPLETE
11,0.8763392857142858,2026-04-20 17:52:49.679103,2026-04-20 17:52:59.539534,0 days 00:00:09.860431,0.004613910322996432,cosine,0.11688122174779131,1024,adamw,,0.003038284340356533,COMPLETE
12,0.5397767857142857,2026-04-20 17:52:59.684341,2026-04-20 17:53:09.405076,0 days 00:00:09.720735,0.00030005909038276815,cosine,0.10981473046484408,256,adamw,,0.001016456912014674,COMPLETE
13,0.6207780612244899,2026-04-20 17:53:09.543555,2026-04-20 17:53:19.303670,0 days 00:00:09.760115,0.0032930187951167693,cosine_warmup,0.19775241327192966,512,adamw,10.0,0.0006361897115327294,COMPLETE
14,0.8242219387755102,2026-04-20 17:53:19.426265,2026-04-20 17:53:29.166250,0 days 00:00:09.739985,0.0015999873281873666,constant,0.1289076143577803,1024,adamw,,2.8788595603966666e-05,COMPLETE
