number,value,datetime_start,datetime_complete,duration,params_gru_dropout,params_gru_num_layers,params_hidden_dim,params_lr,params_lr_scheduler,params_mlp_dropout,params_mlp_hidden_dim,params_optimizer_type,params_warmup_epochs,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
0,0.2143622448979592,2026-04-20 18:22:28.628020,2026-04-20 18:30:44.898111,0 days 00:08:16.270091,0.12740346640696568,4,2048,0.001570297088405539,constant,0.19091248360355031,512,adam,,0.0002481040974867811,,,,,COMPLETE
1,0.9357397959183673,2026-04-20 18:30:45.046004,2026-04-20 18:32:40.827717,0 days 00:01:55.781713,0.5693313223519999,1,1024,2.621087878265438e-05,cosine_warmup,0.5828160165372797,128,adam,4.0,1.4742753159914662e-05,0.6649489795918367,0.873125,0.9345280612244897,,COMPLETE
2,0.9411989795918367,2026-04-20 18:32:40.960414,2026-04-20 18:39:37.006679,0 days 00:06:56.046265,0.5636993649385135,4,2048,0.0003058656666978527,constant,0.5474136752138244,256,adamw,,1.3726318898045876e-06,0.7571301020408163,0.9182270408163264,0.9388265306122449,,COMPLETE
3,0.9492602040816326,2026-04-20 18:39:37.173251,2026-04-20 18:46:33.045415,0 days 00:06:55.872164,0.11922940892050343,4,2048,0.00014656553886225324,constant,0.1027610585618012,128,adam,,1.2172958098369984e-05,0.8546938775510203,0.9090561224489796,0.9319515306122449,0.9459821428571429,COMPLETE
4,0.6834948979591837,2026-04-20 18:46:33.167754,2026-04-20 18:46:45.522410,0 days 00:00:12.354656,0.07175654756298101,2,2048,2.2264204303769678e-05,constant,0.4566223936114975,512,adam,,0.0028340904295147754,0.6834948979591837,,,,PRUNED
5,0.5343877551020408,2026-04-20 18:46:45.750567,2026-04-20 18:46:57.253919,0 days 00:00:11.503352,0.046187945897275796,1,256,1.1919481947918725e-05,cosine,0.24487572645688402,256,adamw,,2.7012557725439094e-06,0.5343877551020408,,,,PRUNED
6,0.5423341836734694,2026-04-20 18:46:57.372115,2026-04-20 18:47:04.419048,0 days 00:00:07.046933,0.3064483815465394,1,2048,3.6283583803549155e-05,cosine_warmup,0.3087055015743895,1024,adamw,5.0,0.0037173717478250516,0.5423341836734694,,,,PRUNED
7,0.5382142857142858,2026-04-20 18:47:04.582489,2026-04-20 18:47:22.215784,0 days 00:00:17.633295,0.03088725074999361,3,2048,0.0012854549964879019,constant,0.23932323211830572,128,adam,,2.847858516856295e-05,0.5382142857142858,,,,PRUNED
8,0.8214285714285714,2026-04-20 18:47:22.478147,2026-04-20 18:47:34.708020,0 days 00:00:12.229873,0.11191110623991253,2,2048,0.001038500337992742,cosine,0.12038757077738196,256,adamw,,0.0011129571947046015,0.8214285714285714,,,,PRUNED
9,0.9075892857142858,2026-04-20 18:47:34.924783,2026-04-20 18:48:03.099408,0 days 00:00:28.174625,0.4903333201207295,3,512,3.3350264835699565e-05,cosine,0.3776004057997312,1024,adam,,0.0005804314717414074,0.7898086734693878,0.9075892857142858,,,PRUNED
