number,value,datetime_start,datetime_complete,duration,params_clip_layer,params_gru_dropout,params_gru_num_layers,params_hidden_dim,params_lr,params_lr_scheduler,params_mlp_dropout,params_mlp_hidden_dim,params_optimizer_type,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
0,0.9487372448979592,2026-04-22 14:11:13.361906,2026-04-22 14:13:07.793464,0 days 00:01:54.431558,block_16,0.07272998688284026,2,512,0.00041917115166952007,cosine,0.07336180394137352,512,adam,0.004170553216181044,,,,,COMPLETE
1,0.9517091836734695,2026-04-22 14:13:07.931821,2026-04-22 14:15:06.441013,0 days 00:01:58.509192,block_16,0.37955421490133334,2,512,0.0002442886696734996,constant,0.38625281322982374,256,adamw,0.0029493012052163488,0.9328698979591836,0.9463775510204082,,,COMPLETE
2,0.9389158163265307,2026-04-22 14:15:06.578440,2026-04-22 14:18:00.974721,0 days 00:02:54.396281,block_12,0.37579957662567565,5,1024,6.939031266619747e-05,cosine,0.35793094017105953,512,adamw,0.002374619881840205,0.7963647959183675,0.892640306122449,0.9123596938775511,0.9357270408163265,COMPLETE
3,0.8868494897959184,2026-04-22 14:18:01.158895,2026-04-22 14:20:54.148863,0 days 00:02:52.989968,pre_proj,0.07948627261366897,5,1024,0.0002915549705917698,constant,0.00220884684944096,256,adamw,0.0007626348515257585,0.8803698979591836,0.8917984693877551,0.8781632653061224,,COMPLETE
4,0.8034566326530612,2026-04-22 14:20:54.273734,2026-04-22 14:21:07.884686,0 days 00:00:13.610952,block_12,0.04783769837532068,3,1024,6.907675985896193e-05,constant,0.28529791488919803,1024,adam,0.0013244734603681328,0.8034566326530612,,,,PRUNED
5,0.7806823979591837,2026-04-22 14:21:08.028414,2026-04-22 14:21:14.866720,0 days 00:00:06.838306,block_16,0.0307919639315172,2,1024,0.00023583976885932132,constant,0.11590058116550722,512,adam,0.0075812568387896235,0.7806823979591837,,,,PRUNED
6,0.9279719387755102,2026-04-22 14:21:15.008825,2026-04-22 14:21:58.975356,0 days 00:00:43.966531,block_16,0.0027808522124762817,5,1024,7.215756017643583e-05,cosine,0.20429892103102631,256,adam,0.0006952657874868639,0.9279719387755102,,,,PRUNED
7,0.7461352040816327,2026-04-22 14:21:59.155458,2026-04-22 14:22:11.208149,0 days 00:00:12.052691,block_16,0.2010716092915446,4,256,4.7813756341720974e-05,constant,0.02059150049999574,512,adam,0.002217712405242021,0.7461352040816327,,,,PRUNED
8,0.9334183673469388,2026-04-22 14:22:11.333784,2026-04-22 14:23:34.705109,0 days 00:01:23.371325,block_20,0.12831202598869434,5,256,9.831859037624915e-05,cosine,0.0746074041599417,1024,adamw,0.003323677341393971,0.8283673469387756,0.8932270408163265,0.9247321428571429,0.9334183673469388,PRUNED
9,0.7486989795918367,2026-04-22 14:23:34.828154,2026-04-22 14:23:41.002624,0 days 00:00:06.174470,pre_proj,0.26399361841367164,3,512,2.3505251545046758e-05,cosine,0.32688888008048633,256,adamw,0.0013890169888690022,0.7486989795918367,,,,PRUNED
