number,value,datetime_start,datetime_complete,duration,params_lr,params_lr_scheduler,params_mlp_dropout,params_mlp_hidden_dim,params_optimizer_type,params_warmup_epochs,params_weight_decay,state
0,0.9100510204081632,2026-04-20 19:12:20.566092,2026-04-20 19:13:31.815991,0 days 00:01:11.249899,0.001570297088405539,constant,0.5849549260809972,128,adam,,0.0002481040974867811,COMPLETE
1,0.5264923469387754,2026-04-20 19:13:31.965214,2026-04-20 19:14:43.036829,0 days 00:01:11.071615,3.511356313970405e-05,cosine,0.28318092164684583,256,adamw,,5.415244119402541e-06,COMPLETE
2,0.5677933673469386,2026-04-20 19:14:43.171578,2026-04-20 19:15:55.077607,0 days 00:01:11.906029,3.972110727381908e-05,cosine_warmup,0.2523068845866854,512,adam,4.0,0.00011400863701127338,COMPLETE
3,0.7478188775510205,2026-04-20 19:15:55.224344,2026-04-20 19:17:07.028261,0 days 00:01:11.803917,0.00020914981329035596,cosine_warmup,0.19242722776276353,128,adam,5.0,3.0771802712506896e-06,COMPLETE
4,0.9322321428571428,2026-04-20 19:17:07.152526,2026-04-20 19:18:18.178905,0 days 00:01:11.026379,0.006584106160121612,cosine,0.23567451588694796,1024,adamw,,0.003795853142670641,COMPLETE
5,0.5646428571428571,2026-04-20 19:18:18.315431,2026-04-20 19:19:30.958801,0 days 00:01:12.643370,6.963114377829287e-05,cosine,0.5077307142274171,128,adamw,,0.00014817820606039095,COMPLETE
6,0.9133290816326531,2026-04-20 19:19:31.106605,2026-04-20 19:20:44.003765,0 days 00:01:12.897160,0.0020597335357437196,cosine_warmup,0.464803089169032,128,adam,7.0,1.9777828512462715e-06,COMPLETE
7,0.7921173469387756,2026-04-20 19:20:44.126812,2026-04-20 19:21:56.954165,0 days 00:01:12.827353,0.00026100256506134784,cosine,0.1127095633720476,128,adam,,3.0086868214458464e-06,COMPLETE
8,0.8965561224489795,2026-04-20 19:21:57.082671,2026-04-20 19:23:09.672593,0 days 00:01:12.589922,0.0008113929572637835,cosine,0.24487572645688402,256,adamw,,1.808939009276714e-05,COMPLETE
9,0.9188520408163265,2026-04-20 19:23:09.809107,2026-04-20 19:24:22.791250,0 days 00:01:12.982143,0.002656813924114493,constant,0.2590017374859319,1024,adam,,0.000341676434183297,COMPLETE
