number,value,datetime_start,datetime_complete,duration,params_clip_layer,params_lr,params_lr_scheduler,params_mlp_dropout,params_mlp_hidden_dim,params_optimizer_type,params_warmup_epochs,state
0,,2026-04-21 11:47:36.095421,2026-04-21 11:47:36.213562,0 days 00:00:00.118141,block_16,0.005950295391592125,constant,0.008233797718320978,512,adamw,,FAIL
1,0.9277423469387756,2026-04-21 11:51:05.441463,2026-04-21 11:52:14.535073,0 days 00:01:09.093610,block_16,0.005950295391592125,constant,0.008233797718320978,512,adamw,,COMPLETE
2,0.9192984693877551,2026-04-21 11:52:14.669995,2026-04-21 11:53:24.755858,0 days 00:01:10.085863,block_12,0.018236581424556055,cosine_warmup,0.11685785941408727,1024,adamw,9.0,COMPLETE
3,0.908125,2026-04-21 11:53:24.879577,2026-04-21 11:54:35.357504,0 days 00:01:10.477927,block_20,0.030860579740535368,cosine_warmup,0.38625281322982374,2048,adamw,4.0,COMPLETE
4,0.9242346938775511,2026-04-21 11:54:35.484658,2026-04-21 11:55:45.030527,0 days 00:01:09.545869,block_12,0.022039920190846215,constant,0.2650089137415928,1024,adamw,,COMPLETE
5,0.9088392857142857,2026-04-21 11:55:45.178723,2026-04-21 11:56:55.832703,0 days 00:01:10.653980,block_20,0.08342309693146736,constant,0.0353970008207678,2048,adamw,,COMPLETE
6,0.8476785714285714,2026-04-21 11:56:55.960051,2026-04-21 11:58:09.043573,0 days 00:01:13.083522,pre_proj,0.011600433752378412,cosine_warmup,0.02982025747190833,2048,adamw,7.0,COMPLETE
7,0.9228188775510204,2026-04-21 11:58:09.193950,2026-04-21 11:59:20.294251,0 days 00:01:11.100301,block_12,0.044404828493843605,constant,0.04634762381005189,512,adamw,,COMPLETE
8,0.9222704081632652,2026-04-21 11:59:20.415296,2026-04-21 12:00:31.489203,0 days 00:01:11.073907,block_12,0.033763806178210086,cosine_warmup,0.28529791488919803,512,adamw,12.0,COMPLETE
9,0.9080739795918367,2026-04-21 12:00:31.621346,2026-04-21 12:01:43.062807,0 days 00:01:11.441461,block_20,0.0053956162093432,constant,0.12574239243053068,2048,adamw,,COMPLETE
10,0.9285459183673469,2026-04-21 12:01:43.203654,2026-04-21 12:02:55.140070,0 days 00:01:11.936416,block_16,0.006296847508763163,constant,0.3232481518257668,2048,adamw,,COMPLETE
11,0.9284438775510203,2026-04-21 12:02:55.292822,2026-04-21 12:04:07.103026,0 days 00:01:11.810204,block_16,0.011146883164919243,constant,0.35046465014778433,512,adamw,,COMPLETE
12,0.9284566326530612,2026-04-21 12:04:07.253890,2026-04-21 12:05:19.519300,0 days 00:01:12.265410,block_16,0.005094978870825961,constant,0.26505239299967975,2048,adamw,,COMPLETE
13,0.8920918367346939,2026-04-21 12:05:19.667420,2026-04-21 12:05:42.224588,0 days 00:00:22.557168,block_12,0.00506648208368995,constant,0.34679274435759067,2048,adamw,,PRUNED
14,0.9344642857142857,2026-04-21 12:05:42.377630,2026-04-21 12:06:54.048274,0 days 00:01:11.670644,block_16,0.024603534343175953,constant,0.31903935184311594,2048,adamw,,COMPLETE
15,0.9334566326530612,2026-04-21 12:06:54.204622,2026-04-21 12:08:05.868828,0 days 00:01:11.664206,block_16,0.022603780276225338,constant,0.23862936161414225,2048,adamw,,COMPLETE
