number,value,datetime_start,datetime_complete,duration,params_clip_layer,params_lr,params_lr_scheduler,params_mlp_dropout,params_mlp_hidden_dim,params_optimizer_type,state
0,0.9300510204081632,2026-04-21 16:05:34.619205,2026-04-21 16:06:50.142667,0 days 00:01:15.523462,block_16,0.013786796469674746,constant,0.10459808211767094,1024,adamw,COMPLETE
1,0.9324489795918367,2026-04-21 16:06:50.302574,2026-04-21 16:08:06.075312,0 days 00:01:15.772738,block_16,0.005851694339817631,constant,0.389468448256698,1024,adamw,COMPLETE
2,0.9294642857142857,2026-04-21 16:08:06.235441,2026-04-21 16:09:22.598478,0 days 00:01:16.363037,block_16,0.0476429360852012,constant,0.23366475107128326,4096,adamw,COMPLETE
3,0.929719387755102,2026-04-21 16:09:22.762228,2026-04-21 16:10:38.627828,0 days 00:01:15.865600,block_16,0.016105594676022232,constant,0.17822664515279213,2048,adamw,COMPLETE
4,0.9285714285714285,2026-04-21 16:10:38.781279,2026-04-21 16:11:54.561438,0 days 00:01:15.780159,block_16,0.01719293123969148,constant,0.0662576444519992,1024,adamw,COMPLETE
5,0.9280484693877551,2026-04-21 16:11:54.724984,2026-04-21 16:13:10.989930,0 days 00:01:16.264946,block_16,0.025911836468209465,constant,0.33293907184076144,4096,adamw,COMPLETE
6,0.9296173469387755,2026-04-21 16:13:11.135496,2026-04-21 16:14:27.380097,0 days 00:01:16.244601,block_16,0.011408369940408102,constant,0.2233119185389446,2048,adamw,COMPLETE
7,0.9310841836734693,2026-04-21 16:14:27.527620,2026-04-21 16:15:43.158505,0 days 00:01:15.630885,block_16,0.00548799925106472,constant,0.23202380741223383,1024,adamw,COMPLETE
8,0.9321428571428572,2026-04-21 16:15:43.320064,2026-04-21 16:16:58.786165,0 days 00:01:15.466101,block_16,0.021976128462431514,constant,0.3631895726496771,2048,adamw,COMPLETE
9,0.9314795918367347,2026-04-21 16:16:58.929004,2026-04-21 16:18:13.408031,0 days 00:01:14.479027,block_16,0.025243812351202467,constant,0.16386561576714254,1024,adamw,COMPLETE
10,0.9320408163265307,2026-04-21 16:18:13.553110,2026-04-21 16:19:27.652247,0 days 00:01:14.099137,block_16,0.007187149560259538,constant,0.3823630171988805,1024,adamw,COMPLETE
11,0.9040051020408164,2026-04-21 16:19:27.791920,2026-04-21 16:19:45.392437,0 days 00:00:17.600517,block_16,0.02686666423786663,constant,0.3723870984160529,2048,adamw,PRUNED
12,0.9108418367346939,2026-04-21 16:19:45.533575,2026-04-21 16:20:06.034166,0 days 00:00:20.500591,block_16,0.006894352184346654,constant,0.3571974984189833,2048,adamw,PRUNED
13,0.9120153061224491,2026-04-21 16:20:06.178041,2026-04-21 16:20:26.661225,0 days 00:00:20.483184,block_16,0.01477667994912702,constant,0.31972651052363305,1024,adamw,PRUNED
14,0.9069005102040817,2026-04-21 16:20:26.810491,2026-04-21 16:20:44.593900,0 days 00:00:17.783409,block_16,0.05562956403005612,constant,0.39423497680288755,3072,adamw,PRUNED
15,0.9107397959183673,2026-04-21 16:20:44.733262,2026-04-21 16:21:05.351702,0 days 00:00:20.618440,block_16,0.009582762486629412,constant,0.34933543364137837,3072,adamw,PRUNED
16,0.9152295918367347,2026-04-21 16:21:05.493263,2026-04-21 16:21:31.578414,0 days 00:00:26.085151,block_16,0.0065652002181838115,constant,0.35144070745778977,4096,adamw,PRUNED
17,0.9046811224489796,2026-04-21 16:21:31.713860,2026-04-21 16:21:49.174013,0 days 00:00:17.460153,block_16,0.0364490771657369,constant,0.23963574574108104,2048,adamw,PRUNED
18,0.9034566326530612,2026-04-21 16:21:49.323038,2026-04-21 16:22:06.737497,0 days 00:00:17.414459,block_16,0.01998815208705585,constant,0.38432531236436096,3072,adamw,PRUNED
19,0.929451530612245,2026-04-21 16:22:06.867980,2026-04-21 16:23:21.454276,0 days 00:01:14.586296,block_16,0.013029683479181675,constant,0.38796082332522436,1024,adamw,COMPLETE
20,0.9003954081632654,2026-04-21 16:23:21.586774,2026-04-21 16:23:42.332704,0 days 00:00:20.745930,block_16,0.06846347866996175,constant,0.35477593158195864,2048,adamw,PRUNED
21,0.9077551020408162,2026-04-21 16:23:42.488046,2026-04-21 16:24:00.378923,0 days 00:00:17.890877,block_16,0.00558210697546139,constant,0.35608108508880304,1024,adamw,PRUNED
22,0.9057780612244899,2026-04-21 16:24:00.618308,2026-04-21 16:24:18.328506,0 days 00:00:17.710198,block_16,0.005365289126530623,constant,0.3870555893493153,1024,adamw,PRUNED
23,0.9147193877551021,2026-04-21 16:24:18.474348,2026-04-21 16:24:41.911957,0 days 00:00:23.437609,block_16,0.017512713396617093,constant,0.29358828619846755,2048,adamw,PRUNED
24,0.9119132653061225,2026-04-21 16:24:42.049794,2026-04-21 16:25:02.472417,0 days 00:00:20.422623,block_16,0.013042539120806221,constant,0.3981260154089969,2048,adamw,PRUNED
25,0.9103316326530613,2026-04-21 16:25:02.645763,2026-04-21 16:25:23.250179,0 days 00:00:20.604416,block_16,0.005323774304311421,constant,0.38994457651499004,3072,adamw,PRUNED
