number,value,datetime_start,datetime_complete,duration,params_clip_layer,params_lr,params_lr_scheduler,params_mlp_dropout,params_mlp_hidden_dim,params_optimizer_type,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,0.9300510204081632,2026-04-21 21:42:41.688519,2026-04-21 21:43:55.816050,0 days 00:01:14.127531,block_16,0.013786796469674746,constant,0.10459808211767094,1024,adamw,,,,COMPLETE
1,0.9324489795918367,2026-04-21 21:43:55.962847,2026-04-21 21:45:09.717973,0 days 00:01:13.755126,block_16,0.005851694339817631,constant,0.389468448256698,1024,adamw,0.8995025510204081,0.9228316326530612,,COMPLETE
2,0.9294642857142857,2026-04-21 21:45:09.860840,2026-04-21 21:46:25.044964,0 days 00:01:15.184124,block_16,0.0476429360852012,constant,0.23366475107128326,4096,adamw,0.7821556122448979,0.8447767857142857,0.917984693877551,COMPLETE
3,0.7758801020408164,2026-04-21 21:46:25.187970,2026-04-21 21:46:31.312716,0 days 00:00:06.124746,block_16,0.016105594676022232,constant,0.17822664515279213,2048,adamw,0.7758801020408164,,,PRUNED
4,0.8969515306122449,2026-04-21 21:46:31.444644,2026-04-21 21:46:43.219789,0 days 00:00:11.775145,block_16,0.01719293123969148,constant,0.0662576444519992,1024,adamw,0.8969515306122449,,,PRUNED
5,0.9280484693877551,2026-04-21 21:46:43.363991,2026-04-21 21:47:57.471732,0 days 00:01:14.107741,block_16,0.025911836468209465,constant,0.33293907184076144,4096,adamw,0.9154081632653062,,,COMPLETE
6,0.9296173469387755,2026-04-21 21:47:57.620957,2026-04-21 21:49:12.103175,0 days 00:01:14.482218,block_16,0.011408369940408102,constant,0.2233119185389446,2048,adamw,0.919936224489796,,,COMPLETE
7,0.9224744897959184,2026-04-21 21:49:12.268595,2026-04-21 21:49:41.613496,0 days 00:00:29.344901,block_16,0.00548799925106472,constant,0.23202380741223383,1024,adamw,0.9026658163265306,0.9224744897959184,,PRUNED
8,0.9321428571428572,2026-04-21 21:49:41.763738,2026-04-21 21:50:56.570585,0 days 00:01:14.806847,block_16,0.021976128462431514,constant,0.3631895726496771,2048,adamw,0.8036479591836734,0.8826147959183673,0.9190051020408163,COMPLETE
9,0.9314795918367347,2026-04-21 21:50:56.724459,2026-04-21 21:52:11.446420,0 days 00:01:14.721961,block_16,0.025243812351202467,constant,0.16386561576714254,1024,adamw,0.9214668367346939,,,COMPLETE
10,0.8993877551020407,2026-04-21 21:52:11.590225,2026-04-21 21:52:23.526632,0 days 00:00:11.936407,block_16,0.007187149560259538,constant,0.3823630171988805,1024,adamw,0.8993877551020407,,,PRUNED
11,0.877780612244898,2026-04-21 21:52:23.678300,2026-04-21 21:52:35.506641,0 days 00:00:11.828341,block_16,0.02686666423786663,constant,0.3723870984160529,2048,adamw,0.877780612244898,,,PRUNED
12,0.9189285714285714,2026-04-21 21:52:35.655122,2026-04-21 21:53:04.859226,0 days 00:00:29.204104,block_16,0.006894352184346654,constant,0.3571974984189833,2048,adamw,0.9189285714285714,,,PRUNED
13,0.7934821428571428,2026-04-21 21:53:05.022406,2026-04-21 21:53:11.039496,0 days 00:00:06.017090,block_16,0.01477667994912702,constant,0.31972651052363305,1024,adamw,0.7934821428571428,,,PRUNED
14,0.8795408163265307,2026-04-21 21:53:11.215916,2026-04-21 21:53:23.015726,0 days 00:00:11.799810,block_16,0.05562956403005612,constant,0.39423497680288755,3072,adamw,0.8795408163265307,,,PRUNED
