number,value,datetime_start,datetime_complete,duration,params_attn_dropout,params_dim_feedforward,params_lr,params_lr_scheduler,params_mlp_dropout,params_mlp_hidden_dim,params_n_heads,params_num_layers,params_optimizer_type,params_warmup_epochs,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
0,0.9480739795918367,2026-04-20 17:58:50.313609,2026-04-20 18:01:31.513994,0 days 00:02:41.200385,0.11004270591206029,1024,0.001570297088405539,constant,0.25212112147976884,1024,8,11,adam,,0.0002481040974867811,,,,,COMPLETE
1,0.9505739795918366,2026-04-20 18:01:31.711219,2026-04-20 18:04:51.529969,0 days 00:03:19.818750,0.1827682615040224,3072,0.00012562773503807024,constant,0.14883605700319194,128,8,8,adam,,6.672367170464208e-05,0.8525765306122449,0.9206887755102041,0.9383418367346938,0.9473979591836734,COMPLETE
2,0.9505357142857143,2026-04-20 18:04:51.700357,2026-04-20 18:08:45.664929,0 days 00:03:53.964572,0.02713637334632284,2048,5.9750279999602906e-05,cosine_warmup,0.2626651653816322,512,8,12,adam,4.0,0.0004467752817973908,0.8732780612244897,0.927640306122449,0.9486224489795918,,COMPLETE
3,0.8371045918367347,2026-04-20 18:08:45.852020,2026-04-20 18:08:52.770192,0 days 00:00:06.918172,0.06952143571507782,2048,2.6471141828218167e-05,cosine,0.5315517129377968,128,8,4,adam,,0.0016172900811143157,0.8371045918367347,,,,PRUNED
4,0.9506377551020407,2026-04-20 18:08:52.965006,2026-04-20 18:11:16.649286,0 days 00:02:23.684280,0.3818462467582682,1024,0.0008178476574339542,cosine_warmup,0.25717799053816337,256,4,8,adam,9.0,0.0035387588647792408,0.9342984693877551,0.9408418367346939,,,COMPLETE
5,0.9272576530612245,2026-04-20 18:11:16.832788,2026-04-20 18:12:16.370773,0 days 00:00:59.537985,0.19080208498311832,4096,1.7019223026554023e-05,cosine,0.15502596226383838,1024,4,8,adamw,,1.4421346497969488e-05,0.9272576530612245,,,,PRUNED
6,0.6096173469387755,2026-04-20 18:12:16.553572,2026-04-20 18:12:23.650406,0 days 00:00:07.096834,0.17090429662648057,1024,0.000178744632562384,cosine_warmup,0.1184434736772664,128,16,7,adam,5.0,7.7344821566468e-06,0.6096173469387755,,,,PRUNED
7,0.9001020408163265,2026-04-20 18:12:23.807833,2026-04-20 18:12:43.440455,0 days 00:00:19.632622,0.5011814973535428,2048,2.7207248059486674e-05,constant,0.2603900324858679,1024,8,10,adamw,,9.074256288983866e-05,0.8574744897959183,0.9001020408163265,,,PRUNED
8,0.852079081632653,2026-04-20 18:12:43.634168,2026-04-20 18:12:52.766058,0 days 00:00:09.131890,0.4903333201207295,1024,4.7806541413289224e-05,cosine,0.3776004057997312,1024,8,12,adam,,0.0003807949336768562,0.852079081632653,,,,PRUNED
9,0.9078698979591837,2026-04-20 18:12:52.935603,2026-04-20 18:13:09.581284,0 days 00:00:16.645681,0.3981010614648335,1024,0.00010401341922663452,cosine,0.10253079192310935,512,4,10,adamw,,2.493666083446518e-05,0.857359693877551,0.9078698979591837,,,PRUNED
10,0.598954081632653,2026-04-20 18:13:09.764815,2026-04-20 18:13:24.919025,0 days 00:00:15.154210,0.45118627379416854,1024,0.00413727922792285,cosine,0.34867364063545814,256,4,8,adam,,0.0011194653508204656,0.598954081632653,,,,PRUNED
11,0.8084948979591836,2026-04-20 18:13:25.095739,2026-04-20 18:13:36.654430,0 days 00:00:11.558691,0.31538886947880984,3072,0.0005189316733833191,constant,0.13799361754083478,128,4,9,adam,,0.005161781821513242,0.8084948979591836,,,,PRUNED
12,0.9110586734693877,2026-04-20 18:13:36.836025,2026-04-20 18:13:53.545061,0 days 00:00:16.709036,0.04693978357110207,3072,6.098505658756649e-05,constant,0.36717281024011983,128,8,6,adam,,2.912679477890693e-05,0.8606632653061224,0.9110586734693877,,,PRUNED
13,0.632920918367347,2026-04-20 18:13:53.726772,2026-04-20 18:14:00.947674,0 days 00:00:07.220902,0.4543766292705463,2048,6.773920432105695e-05,cosine_warmup,0.39353746931898437,256,4,8,adam,10.0,0.0006781550401167152,0.632920918367347,,,,PRUNED
14,0.8549362244897958,2026-04-20 18:14:01.113939,2026-04-20 18:14:11.380657,0 days 00:00:10.266718,0.13947470466838446,3072,2.1367348592335675e-05,cosine,0.1172437761740951,128,8,12,adam,,1.9600892780329583e-05,0.8549362244897958,,,,PRUNED
15,0.940625,2026-04-20 18:14:11.554533,2026-04-20 18:15:32.760595,0 days 00:01:21.206062,0.28381813524203997,1024,0.0004913098972607284,cosine_warmup,0.24249401217171482,256,4,8,adam,8.0,0.0010839610859329828,0.894859693877551,0.9340561224489796,0.940625,,PRUNED
16,0.9335459183673469,2026-04-20 18:15:32.923430,2026-04-20 18:16:02.736837,0 days 00:00:29.813407,0.14908108465066494,3072,0.00027772648265198154,cosine,0.19662067884527484,128,8,5,adamw,,0.00012547664505188592,0.9106122448979592,0.9335459183673469,,,PRUNED
17,0.8287627551020409,2026-04-20 18:16:02.898489,2026-04-20 18:16:12.662866,0 days 00:00:09.764377,0.38060745759681164,3072,0.0013896795065517786,cosine_warmup,0.38336853901151946,256,16,10,adam,7.0,0.005726574108661009,0.8287627551020409,,,,PRUNED
18,0.6319642857142858,2026-04-20 18:16:12.843928,2026-04-20 18:16:19.898970,0 days 00:00:07.055042,0.5689886431225515,1024,0.00013390632004271874,cosine_warmup,0.29292634441761556,256,4,11,adamw,10.0,0.006175104712622979,0.6319642857142858,,,,PRUNED
19,0.8138010204081632,2026-04-20 18:16:20.049592,2026-04-20 18:16:26.157153,0 days 00:00:06.107561,0.1692391359915613,1024,0.0006105661667251553,constant,0.2920364390221794,128,8,4,adam,,0.0015723658672343716,0.8138010204081632,,,,PRUNED
20,0.9336989795918367,2026-04-20 18:16:26.328312,2026-04-20 18:16:56.250051,0 days 00:00:29.921739,0.3412785039006213,2048,0.00029911513100358745,constant,0.11225588728826344,128,8,7,adam,,2.449052712738478e-05,0.9336989795918367,,,,PRUNED
21,0.8695663265306123,2026-04-20 18:16:56.392063,2026-04-20 18:17:11.819530,0 days 00:00:15.427467,0.13746547577179125,2048,8.589276071855626e-05,cosine_warmup,0.3818761366692534,512,8,11,adam,3.0,0.0008010205575236089,0.8695663265306123,,,,PRUNED
22,0.810012755102041,2026-04-20 18:17:12.001311,2026-04-20 18:17:19.960804,0 days 00:00:07.959493,0.08941040748316761,2048,0.0002561601014850653,cosine,0.18718538223449024,512,4,11,adam,,7.332188662019238e-05,0.810012755102041,,,,PRUNED
23,0.7725765306122448,2026-04-20 18:17:20.141165,2026-04-20 18:17:28.410480,0 days 00:00:08.269315,0.06513868793659522,2048,0.0001185177948404561,cosine_warmup,0.1443369431300746,1024,8,11,adamw,5.0,0.00019896803855825478,0.7725765306122448,,,,PRUNED
24,0.8425510204081632,2026-04-20 18:17:28.584763,2026-04-20 18:17:37.432014,0 days 00:00:08.847251,0.3031277365202851,3072,2.5672271521152588e-05,constant,0.28453440118906087,256,8,10,adam,,3.087064852764814e-05,0.8425510204081632,,,,PRUNED
25,0.9467984693877551,2026-04-20 18:17:37.612955,2026-04-20 18:19:42.865877,0 days 00:02:05.252922,0.06431557642797568,1024,1.7344785564180693e-05,cosine_warmup,0.28800776700043246,256,8,11,adam,3.0,0.00028041483603900825,0.9380612244897959,,,,COMPLETE
26,0.8305357142857143,2026-04-20 18:19:43.020910,2026-04-20 18:19:54.753999,0 days 00:00:11.733089,4.1295783119732477e-05,4096,0.00021347554906804282,cosine_warmup,0.3572813250978788,512,16,12,adamw,7.0,0.00014943432998935907,0.8305357142857143,,,,PRUNED
27,0.8510841836734694,2026-04-20 18:19:54.964648,2026-04-20 18:20:01.299707,0 days 00:00:06.335059,0.49559391334384717,4096,0.0013600072352466328,cosine_warmup,0.2252388865856712,256,16,4,adam,8.0,0.002809085415494943,0.8510841836734694,,,,PRUNED
28,0.9341071428571429,2026-04-20 18:20:01.493410,2026-04-20 18:20:40.262309,0 days 00:00:38.768899,0.05663308392774578,2048,5.2693969316920903e-05,constant,0.20370777867349737,1024,16,10,adam,,0.00011517738525606282,0.9341071428571429,,,,PRUNED
29,0.6177933673469387,2026-04-20 18:20:40.425368,2026-04-20 18:20:50.714857,0 days 00:00:10.289489,0.04787523818598445,3072,1.3585788977402365e-05,cosine_warmup,0.29981007194476417,512,16,11,adam,5.0,0.00031941489501072196,0.6177933673469387,,,,PRUNED
30,0.8426658163265306,2026-04-20 18:20:50.888698,2026-04-20 18:21:01.000639,0 days 00:00:10.111941,0.14130791897388437,4096,0.0001312380365327204,constant,0.24536696694849536,512,8,9,adam,,0.000706785142242362,0.8426658163265306,,,,PRUNED
31,0.6687053571428572,2026-04-20 18:21:01.205217,2026-04-20 18:21:08.248956,0 days 00:00:07.043739,0.22838936497405554,1024,0.004191558200790657,constant,0.3051272934811646,1024,8,11,adam,,0.00043135786397631215,0.6687053571428572,,,,PRUNED
32,0.7292857142857143,2026-04-20 18:21:08.428768,2026-04-20 18:21:24.848860,0 days 00:00:16.420092,0.031467425961498395,2048,2.0261145125818645e-05,cosine_warmup,0.10992129852118077,512,8,12,adam,9.0,0.000457353702480274,0.7292857142857143,,,,PRUNED
33,0.8340051020408165,2026-04-20 18:21:25.036993,2026-04-20 18:21:40.310377,0 days 00:00:15.273384,0.08037930511049685,2048,0.002805209967366114,cosine_warmup,0.22078546716506475,1024,8,10,adam,6.0,0.00041256799656827714,0.8340051020408165,,,,PRUNED
34,0.9463137755102041,2026-04-20 18:21:40.496179,2026-04-20 18:23:14.714481,0 days 00:01:34.218302,0.05618260390318253,1024,0.00035710044382411267,constant,0.14068655028566926,1024,8,8,adam,,1.6396256597455788e-05,0.9203954081632653,0.9361224489795918,0.9463137755102041,,PRUNED
35,0.6476658163265306,2026-04-20 18:23:14.872433,2026-04-20 18:23:22.195835,0 days 00:00:07.323402,0.3837542895185011,1024,0.004924191951272204,cosine_warmup,0.18378739876104147,256,4,6,adamw,3.0,0.0033680411571124567,0.6476658163265306,,,,PRUNED
36,0.934094387755102,2026-04-20 18:23:22.352420,2026-04-20 18:25:50.082018,0 days 00:02:27.729598,0.06062020579138856,1024,0.0016844026433788938,constant,0.29781756023136474,256,8,12,adam,,0.00010221763619766668,0.934094387755102,,,,PRUNED
37,,2026-04-20 18:25:50.249942,2026-04-20 18:25:52.221484,0 days 00:00:01.971542,0.46515423295229563,4096,0.0019158314807082553,constant,0.268377374055312,256,4,9,adam,,0.0075960926019757,,,,,FAIL
38,0.7947704081632653,2026-04-20 19:18:12.980596,2026-04-20 19:18:20.700194,0 days 00:00:07.719598,0.10037064682054433,3072,0.0006210429177776603,constant,0.1402337290802212,128,8,6,adam,,7.269338062171255e-05,0.7947704081632653,,,,PRUNED
39,0.9213903061224489,2026-04-20 19:18:20.856017,2026-04-20 19:18:50.599095,0 days 00:00:29.743078,0.5412998573701194,1024,0.001494998124457668,cosine_warmup,0.1653156574562945,128,4,9,adam,9.0,0.005473569008021862,0.9213903061224489,,,,PRUNED
40,0.8201147959183673,2026-04-20 19:18:50.760546,2026-04-20 19:19:00.122307,0 days 00:00:09.361761,0.2760799162139346,3072,0.0008875144311917897,cosine_warmup,0.12602735460910644,128,8,11,adamw,5.0,4.3948266947135295e-05,0.8201147959183673,,,,PRUNED
41,0.7159948979591837,2026-04-20 19:19:00.303674,2026-04-20 19:19:06.672274,0 days 00:00:06.368600,0.06885298668318102,1024,0.0007453006492588246,constant,0.1956405779737203,128,16,9,adam,,0.0005147634708266772,0.7159948979591837,,,,PRUNED
42,0.621390306122449,2026-04-20 19:19:06.831050,2026-04-20 19:19:13.198272,0 days 00:00:06.367222,0.1501062744527129,1024,4.316244365644793e-05,cosine_warmup,0.2764276170298367,256,8,10,adam,3.0,5.657707351159432e-05,0.621390306122449,,,,PRUNED
43,0.9505357142857143,2026-04-20 19:19:13.374577,2026-04-20 19:21:13.427416,0 days 00:02:00.052839,0.013539786983629107,1024,5.767696334796765e-05,cosine_warmup,0.369755948268469,256,8,9,adamw,3.0,0.0006181206484326304,0.9354336734693878,0.9417729591836735,,,COMPLETE
44,0.77125,2026-04-20 19:21:13.582161,2026-04-20 19:21:25.614765,0 days 00:00:12.032604,0.39527128706320525,2048,0.004380034839446645,cosine_warmup,0.34881830726626173,256,4,7,adam,4.0,0.009339151912542545,0.77125,,,,PRUNED
45,0.9049872448979592,2026-04-20 19:21:25.769759,2026-04-20 19:21:37.709300,0 days 00:00:11.939541,0.11030759208384597,1024,3.83031238466251e-05,cosine,0.36323284610145173,256,8,6,adamw,,0.00020006336069596146,0.860204081632653,0.9049872448979592,,,PRUNED
46,0.8067602040816326,2026-04-20 19:21:37.867217,2026-04-20 19:21:47.061780,0 days 00:00:09.194563,0.24988185730560702,3072,0.0001837153778168784,constant,0.14679713961431193,128,16,10,adam,,8.633633258417855e-06,0.8067602040816326,,,,PRUNED
47,0.5212244897959184,2026-04-20 19:21:47.247551,2026-04-20 19:21:53.446365,0 days 00:00:06.198814,0.06592702754973868,1024,2.5405362789486744e-05,cosine_warmup,0.3015084840747126,128,8,8,adamw,3.0,0.00525860199378477,0.5212244897959184,,,,PRUNED
48,0.7606377551020409,2026-04-20 19:21:53.591541,2026-04-20 19:22:03.012266,0 days 00:00:09.420725,0.09273438393616425,4096,0.00012554554402568514,cosine_warmup,0.42698334096887075,256,8,9,adamw,4.0,0.0005977178500881196,0.7606377551020409,,,,PRUNED
49,0.9072959183673469,2026-04-20 19:22:03.176715,2026-04-20 19:22:15.245712,0 days 00:00:12.068997,0.00996025584219112,1024,0.00020638181290956993,cosine,0.3902128925623862,256,16,9,adamw,,0.002852465202065619,0.8475382653061224,0.9072959183673469,,,PRUNED
50,0.5480229591836735,2026-04-20 19:22:15.392631,2026-04-20 19:22:21.666442,0 days 00:00:06.273811,0.07929910113848149,1024,1.9845776067825228e-05,cosine_warmup,0.4747907882608325,256,16,9,adamw,4.0,0.0012165732014120037,0.5480229591836735,,,,PRUNED
51,0.9342602040816327,2026-04-20 19:22:21.827523,2026-04-20 19:23:01.083783,0 days 00:00:39.256260,0.16965451957421035,3072,3.8933718256049677e-05,constant,0.12684832804740803,128,8,9,adam,,9.176377545701222e-05,0.9342602040816327,,,,PRUNED
52,0.9045280612244898,2026-04-20 19:23:01.273803,2026-04-20 19:23:14.174908,0 days 00:00:12.901105,0.11274209997391957,1024,4.246386787984521e-05,constant,0.26607744413777046,256,8,11,adam,,0.005779898776040396,0.8542857142857143,0.9045280612244898,,,PRUNED
53,0.8392729591836735,2026-04-20 19:23:14.354216,2026-04-20 19:23:26.360934,0 days 00:00:12.006718,0.058854643126642264,1024,1.4762196871720302e-05,cosine_warmup,0.3949290112018419,1024,8,9,adam,3.0,0.000942180804492672,0.8392729591836735,,,,PRUNED
54,0.8750765306122448,2026-04-20 19:23:26.501289,2026-04-20 19:23:38.450996,0 days 00:00:11.949707,0.01809926759111393,1024,7.339553744486029e-05,cosine_warmup,0.43201003524747766,256,8,7,adamw,3.0,0.00010799456145183362,0.8750765306122448,,,,PRUNED
55,0.9213392857142857,2026-04-20 19:23:38.579870,2026-04-20 19:24:08.571565,0 days 00:00:29.991695,0.07650567906924656,1024,1.6200330669254657e-05,cosine_warmup,0.4221134294092039,256,4,10,adam,3.0,0.00019695893477500367,0.9213392857142857,,,,PRUNED
56,0.6720663265306122,2026-04-20 19:24:08.737776,2026-04-20 19:24:20.748947,0 days 00:00:12.011171,0.06308739942489222,1024,0.0035517723388724816,cosine,0.29972658948469894,1024,8,9,adam,,0.000539044946696189,0.6720663265306122,,,,PRUNED
57,0.9318239795918368,2026-04-20 19:24:20.906044,2026-04-20 19:26:51.322677,0 days 00:02:30.416633,0.06847777058201512,4096,0.0023779408053206503,constant,0.12806743319152653,1024,8,12,adam,,9.047192594994474e-05,0.9318239795918368,,,,PRUNED
58,0.695765306122449,2026-04-20 19:26:51.524280,2026-04-20 19:27:00.885642,0 days 00:00:09.361362,0.045572070416517965,3072,9.900577305080844e-05,cosine_warmup,0.281319079210997,256,8,10,adamw,3.0,0.0006508574734021571,0.695765306122449,,,,PRUNED
59,0.5803954081632653,2026-04-20 19:27:01.098308,2026-04-20 19:27:08.276140,0 days 00:00:07.177832,0.09917912732195913,1024,0.0012072733110279578,constant,0.1862810342742828,1024,8,11,adamw,,0.0020163462197867604,0.5803954081632653,,,,PRUNED
60,0.945969387755102,2026-04-20 19:27:08.420957,2026-04-20 19:29:02.027695,0 days 00:01:53.606738,0.28717810744754546,4096,0.00023432962589790883,cosine_warmup,0.1895315435995823,1024,4,7,adam,4.0,0.007231439200796735,0.8493622448979592,0.9116964285714285,0.9393112244897959,0.945969387755102,PRUNED
61,0.6838903061224489,2026-04-20 19:29:02.208362,2026-04-20 19:29:14.091684,0 days 00:00:11.883322,0.22273900632032456,4096,1.5135448384024432e-05,cosine_warmup,0.22649294803644127,256,8,11,adam,3.0,0.0017460089709158283,0.6838903061224489,,,,PRUNED
62,0.9382397959183674,2026-04-20 19:29:14.291837,2026-04-20 19:29:44.125099,0 days 00:00:29.833262,0.13970966688132333,1024,0.00024716114838739344,constant,0.12670318949622184,1024,8,8,adam,,1.4356018158976479e-05,0.8781760204081632,0.9184821428571429,0.9382397959183674,,PRUNED
63,0.6395025510204082,2026-04-20 19:29:44.290719,2026-04-20 19:29:51.402210,0 days 00:00:07.111491,0.030486092698273334,1024,4.926765997484791e-05,cosine_warmup,0.2751608252311498,256,8,12,adamw,5.0,0.00020835781240089812,0.6395025510204082,,,,PRUNED
64,0.8520025510204082,2026-04-20 19:29:51.561106,2026-04-20 19:30:23.041542,0 days 00:00:31.480436,0.14216464816488183,1024,1.059370347412986e-05,cosine_warmup,0.23592327162904114,128,8,11,adam,9.0,0.0002669502658702829,0.8520025510204082,,,,PRUNED
65,0.5942474489795919,2026-04-20 19:30:23.184763,2026-04-20 19:30:35.183959,0 days 00:00:11.999196,0.08753852146042765,1024,0.001091721641366893,constant,0.1994853299991719,1024,16,8,adamw,,1.2474596398353563e-06,0.5942474489795919,,,,PRUNED
66,0.6189732142857143,2026-04-20 19:30:35.351705,2026-04-20 19:30:41.653012,0 days 00:00:06.301307,0.35831092185526264,1024,0.0021396555743763285,constant,0.21337780688553307,256,4,8,adam,,0.0018030280642881993,0.6189732142857143,,,,PRUNED
67,0.9110076530612244,2026-04-20 19:30:41.825364,2026-04-20 19:30:56.910108,0 days 00:00:15.084744,0.12736218668579402,3072,8.144206491860329e-05,constant,0.13028936718558293,128,4,8,adamw,,0.00027391844537288137,0.8522448979591837,0.9110076530612244,,,PRUNED
68,0.9281887755102042,2026-04-20 19:30:57.068004,2026-04-20 19:31:45.286403,0 days 00:00:48.218399,0.019907705794335914,4096,2.8406922334957133e-05,cosine_warmup,0.3249526422280435,512,8,10,adam,4.0,0.0017465879623778816,0.9281887755102042,,,,PRUNED
69,0.9351658163265306,2026-04-20 19:31:45.474088,2026-04-20 19:32:16.879521,0 days 00:00:31.405433,0.06813275187952196,1024,0.00017169181732873894,cosine,0.24710842183967574,1024,16,10,adam,,3.996441065652868e-05,0.8710586734693878,0.917716836734694,0.9351658163265306,,PRUNED
70,0.6193239795918367,2026-04-20 19:32:17.058158,2026-04-20 19:32:24.854195,0 days 00:00:07.796037,0.20355042994264108,2048,6.191672770084534e-05,cosine_warmup,0.2685956838865508,512,4,10,adamw,9.0,0.000375981996325578,0.6193239795918367,,,,PRUNED
71,0.930905612244898,2026-04-20 19:32:25.038697,2026-04-20 19:32:54.560972,0 days 00:00:29.522275,0.4472567160303337,1024,0.00038375605932402325,cosine_warmup,0.2858285431493026,256,8,9,adam,10.0,0.0023373014911157006,0.8917857142857142,0.930905612244898,,,PRUNED
72,0.9328698979591836,2026-04-20 19:32:54.712256,2026-04-20 19:33:26.745180,0 days 00:00:32.032924,0.20964162712334844,4096,0.00041165195203186363,cosine_warmup,0.15343117547587495,128,4,5,adam,4.0,0.0035878172189005974,0.9328698979591836,,,,PRUNED
73,0.8891964285714287,2026-04-20 19:33:26.904664,2026-04-20 19:34:05.233819,0 days 00:00:38.329155,0.30773525058186074,4096,0.005963193223960147,cosine_warmup,0.20626941971768994,1024,4,7,adam,4.0,0.0022258553262431645,0.8891964285714287,,,,PRUNED
