number,value,datetime_start,datetime_complete,duration,params_attn_dropout,params_clip_layer,params_dim_feedforward,params_lr,params_lr_scheduler,params_mlp_dropout,params_mlp_hidden_dim,params_n_heads,params_num_layers,params_optimizer_type,params_warmup_epochs,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
0,0.9498341836734694,2026-04-21 11:55:24.582178,2026-04-21 11:58:14.621096,0 days 00:02:50.038918,0.25916701118526947,block_16,2048,0.0005399484409787432,constant,0.24561457009902096,64,4,13,adam,,0.00025378155082656634,,,,,COMPLETE
1,0.942563775510204,2026-04-21 11:58:14.778947,2026-04-21 12:00:50.316289,0 days 00:02:35.537342,0.5455922412472692,block_12,1024,1.3492834268013232e-05,cosine,0.22938999080000846,64,2,16,adam,,0.006245139574743076,0.7590051020408163,0.8275892857142857,0.8983290816326531,0.9322704081632652,COMPLETE
2,0.9488137755102041,2026-04-21 12:00:50.458173,2026-04-21 12:03:10.237982,0 days 00:02:19.779809,0.044730386207862495,block_12,2048,2.4658447214487366e-05,cosine,0.5934434683002586,512,8,9,adam,,1.5167330688076198e-06,0.7989795918367346,0.8624107142857144,0.9221173469387756,0.9425,COMPLETE
3,0.9515561224489797,2026-04-21 12:03:10.392807,2026-04-21 12:05:36.404821,0 days 00:02:26.012014,0.33676631854169775,block_16,2048,4.589824181495648e-05,cosine,0.48548358997728047,128,16,9,adam,,1.7956984225677624e-06,0.9352423469387755,0.9424744897959184,,,COMPLETE
4,0.9533673469387756,2026-04-21 12:05:36.549881,2026-04-21 12:07:37.347173,0 days 00:02:00.797292,0.5355353990939866,block_16,512,0.0003244160088734161,constant,0.3696711209578254,128,8,6,adam,,8.22607494622104e-06,0.833609693877551,0.916326530612245,0.9374617346938776,0.9446173469387755,COMPLETE
5,0.9358801020408163,2026-04-21 12:07:37.512561,2026-04-21 12:09:53.280150,0 days 00:02:15.767589,0.1805269858900618,block_20,256,1.736723715159314e-05,constant,0.2424202471887338,128,8,16,adam,,2.2410971619109514e-05,0.9318239795918367,,,,COMPLETE
6,0.9471173469387755,2026-04-21 12:09:53.418072,2026-04-21 12:12:08.103975,0 days 00:02:14.685903,0.024465084932858348,block_12,512,0.00033361013094697806,constant,0.39544647159412094,64,8,14,adam,,8.923807143379781e-06,0.8023086734693876,0.8836352040816327,0.9344642857142857,,COMPLETE
7,0.795969387755102,2026-04-21 12:12:08.243158,2026-04-21 12:12:15.130324,0 days 00:00:06.887166,0.37986087436396077,pre_proj,2048,0.0007069476197217987,cosine,0.2695148955243504,256,4,8,adam,,0.0032311521854410993,0.795969387755102,,,,PRUNED
8,0.8232780612244898,2026-04-21 12:12:15.263068,2026-04-21 12:12:21.763794,0 days 00:00:06.500726,0.3897797394283288,pre_proj,2048,0.00021232617602360456,constant,0.524611705247089,64,4,7,adam,,1.0477226564098284e-06,0.8232780612244898,,,,PRUNED
9,0.9082525510204082,2026-04-21 12:12:21.913388,2026-04-21 12:12:34.345017,0 days 00:00:12.431629,0.22209522015326663,block_16,1024,0.0001424976719890158,cosine,0.10772830826443372,256,2,8,adam,,9.334064019986375e-05,0.8296428571428572,0.9082525510204082,,,PRUNED
10,0.8150765306122449,2026-04-21 12:12:34.490981,2026-04-21 12:12:40.789913,0 days 00:00:06.298932,0.5704406999694017,block_16,512,0.00032423734190845175,constant,0.5215907360053584,128,8,6,adam,,1.354858811991622e-05,0.8150765306122449,,,,PRUNED
11,0.7878061224489795,2026-04-21 12:12:40.928827,2026-04-21 12:12:47.924201,0 days 00:00:06.995374,0.3578872537693464,block_16,512,0.00014110163224481418,cosine,0.49578535791690126,128,16,13,adam,,1.696077862025862e-05,0.7878061224489795,,,,PRUNED
12,0.9032908163265306,2026-04-21 12:12:48.091872,2026-04-21 12:13:00.972095,0 days 00:00:12.880223,0.26628507060254847,block_16,2048,3.511233280351138e-05,cosine,0.44092736933389653,128,4,8,adam,,8.476560712408743e-06,0.8380102040816325,0.9032908163265306,,,PRUNED
13,0.9211989795918367,2026-04-21 12:13:01.141423,2026-04-21 12:13:30.266780,0 days 00:00:29.125357,0.5734268054033179,block_16,1024,0.0007991029537419347,constant,0.2113523712008932,64,8,6,adam,,2.6209335804283173e-05,0.9211989795918367,,,,PRUNED
14,0.9471619897959183,2026-04-21 12:13:30.423385,2026-04-21 12:15:28.053706,0 days 00:01:57.630321,0.3508957816795011,block_16,256,0.0006405302844608503,cosine,0.29364399917862094,128,8,7,adam,,6.453615484742564e-06,0.9449489795918368,,,,COMPLETE
15,0.8824234693877551,2026-04-21 12:15:28.202406,2026-04-21 12:16:08.987195,0 days 00:00:40.784789,0.45652147719735814,pre_proj,2048,3.8162017298149605e-05,cosine,0.5366473237354614,128,16,12,adam,,1.087859230509901e-06,0.8824234693877551,,,,PRUNED
16,0.6585841836734695,2026-04-21 12:16:09.164072,2026-04-21 12:16:15.629551,0 days 00:00:06.465479,0.20884296623877233,block_16,2048,0.00015570819794779195,cosine_warmup,0.5637111297998386,512,16,7,adam,9.0,1.9278188082236123e-05,0.6585841836734695,,,,PRUNED
17,0.9356505102040816,2026-04-21 12:16:15.792610,2026-04-21 12:17:36.263893,0 days 00:01:20.471283,0.44563346280101135,block_20,512,5.188470162463534e-05,constant,0.31015406652362665,128,16,7,adam,,9.545106068459669e-05,0.9356505102040816,,,,PRUNED
18,0.9275765306122449,2026-04-21 12:17:36.416882,2026-04-21 12:18:57.340725,0 days 00:01:20.923843,0.4594644066130642,block_20,1024,6.708437079055016e-05,cosine,0.5069887478164312,256,16,7,adam,,1.7518109659835221e-06,0.8967091836734693,0.9292857142857143,0.9275765306122449,,PRUNED
19,0.7974234693877551,2026-04-21 12:18:57.495254,2026-04-21 12:19:04.744853,0 days 00:00:07.249599,0.3687715994512054,block_16,2048,1.3362835434397065e-05,constant,0.5866226432381358,1024,16,9,adam,,2.0066531711443554e-06,0.7974234693877551,,,,PRUNED
20,0.888686224489796,2026-04-21 12:19:04.902205,2026-04-21 12:19:18.832706,0 days 00:00:13.930501,0.20728260090966097,block_12,2048,5.187337251763297e-05,constant,0.32931411285420653,128,16,9,adam,,3.6574720601493793e-06,0.835765306122449,0.888686224489796,,,PRUNED
21,0.5905102040816328,2026-04-21 12:19:18.983783,2026-04-21 12:19:28.222599,0 days 00:00:09.238816,0.1854632252869154,block_16,2048,0.0009037270263791393,cosine,0.3059091781573604,128,4,14,adam,,0.0003070709950857327,0.5905102040816328,,,,PRUNED
22,0.7910204081632652,2026-04-21 12:19:28.401255,2026-04-21 12:19:37.234284,0 days 00:00:08.833029,0.3023549339802434,block_16,2048,0.000538700703574049,constant,0.22204579699068347,64,4,13,adam,,3.872456707361734e-05,0.7910204081632652,,,,PRUNED
23,0.9137117346938776,2026-04-21 12:19:37.404130,2026-04-21 12:20:06.692462,0 days 00:00:29.288332,0.5531449801368968,block_20,512,0.0005799158466321605,constant,0.27603572281018407,128,4,8,adam,,6.579548113040774e-06,0.8520918367346939,0.9116454081632653,0.9137117346938776,,PRUNED
24,0.9491581632653061,2026-04-21 12:20:06.863862,2026-04-21 12:22:04.461417,0 days 00:01:57.597555,0.38911648483209943,block_16,2048,8.333836511116214e-05,cosine,0.5272287438825406,128,16,6,adam,,2.680998654660519e-06,0.9085714285714286,0.9379846938775509,0.941658163265306,,COMPLETE
25,0.871594387755102,2026-04-21 12:22:04.606136,2026-04-21 12:22:16.551246,0 days 00:00:11.945110,0.49906951291087426,pre_proj,512,0.0002321217344139759,constant,0.24702841110423335,1024,8,7,adam,,5.744902873882515e-06,0.871594387755102,,,,PRUNED
26,0.784030612244898,2026-04-21 12:22:16.701996,2026-04-21 12:22:23.373268,0 days 00:00:06.671272,0.1775241237429664,block_16,1024,0.00034583324222799746,constant,0.2960879186645239,64,4,11,adam,,0.0020258125089394454,0.784030612244898,,,,PRUNED
27,0.7909183673469387,2026-04-21 12:22:23.549605,2026-04-21 12:22:32.755350,0 days 00:00:09.205745,0.22188405515367005,block_16,2048,0.00041127094577990116,constant,0.22547289402889856,512,2,14,adam,,0.0017949113798975487,0.7909183673469387,,,,PRUNED
28,0.947576530612245,2026-04-21 12:22:32.932884,2026-04-21 12:24:30.803883,0 days 00:01:57.870999,0.5195881572866313,block_16,1024,0.00015710510657580585,cosine_warmup,0.23583554847230906,128,8,6,adam,4.0,1.7516414419005383e-06,0.9461862244897958,,,,COMPLETE
29,0.8131505102040817,2026-04-21 12:24:30.948472,2026-04-21 12:24:37.076534,0 days 00:00:06.128062,0.40357152003221647,block_16,512,0.0005104489392277375,constant,0.26355017099371425,128,8,6,adam,,1.7621188171207074e-05,0.8131505102040817,,,,PRUNED
30,0.9336224489795919,2026-04-21 12:24:37.227182,2026-04-21 12:25:06.288782,0 days 00:00:29.061600,0.4963728225805859,block_16,512,0.00016647048353527833,cosine,0.3505966876922605,128,2,6,adam,,2.924897454769106e-06,0.9336224489795919,,,,PRUNED
31,0.9231377551020409,2026-04-21 12:25:06.438189,2026-04-21 12:25:35.490439,0 days 00:00:29.052250,0.47852210370193754,block_16,256,2.5185623248310773e-05,cosine,0.5904388866770554,128,8,6,adam,,5.396590683482653e-06,0.9231377551020409,,,,PRUNED
32,0.9410969387755102,2026-04-21 12:25:35.645514,2026-04-21 12:26:56.311630,0 days 00:01:20.666116,0.33970518802100524,block_16,2048,7.665551340613402e-05,cosine,0.5868361069712557,128,16,6,adam,,1.0919343593648101e-05,0.9371811224489797,0.9410969387755102,,,PRUNED
33,0.8970535714285715,2026-04-21 12:26:56.477879,2026-04-21 12:28:33.148762,0 days 00:01:36.670883,0.27259583256646563,pre_proj,512,0.0002761181703506738,constant,0.28850980779203866,64,4,16,adam,,0.0007881594990226654,0.8970535714285715,,,,PRUNED
34,0.8885331632653062,2026-04-21 12:28:33.307799,2026-04-21 12:28:46.019775,0 days 00:00:12.711976,0.3828774786824504,block_20,2048,0.00016630303010838795,cosine,0.5077650668494978,128,8,8,adam,,6.529364336506987e-06,0.8482525510204082,0.8885331632653062,,,PRUNED
35,0.8212372448979592,2026-04-21 12:28:46.192181,2026-04-21 12:28:52.701108,0 days 00:00:06.508927,0.3130516111429196,block_16,1024,4.784414932222219e-05,cosine,0.47205555148329276,64,16,10,adam,,6.961760506482062e-06,0.8212372448979592,,,,PRUNED
36,0.7669196428571429,2026-04-21 12:28:52.862621,2026-04-21 12:29:01.853242,0 days 00:00:08.990621,0.38673146105201084,block_16,2048,0.00024252736222557015,constant,0.35811264524277714,64,16,13,adam,,0.0021463955666397704,0.7669196428571429,,,,PRUNED
37,0.8309948979591837,2026-04-21 12:29:02.034385,2026-04-21 12:29:14.005514,0 days 00:00:11.971129,0.518324707736103,pre_proj,256,0.0006868983765842057,constant,0.41374490970384753,128,16,8,adam,,5.4585429661753415e-06,0.8309948979591837,,,,PRUNED
38,0.887015306122449,2026-04-21 12:29:14.169514,2026-04-21 12:29:26.081575,0 days 00:00:11.912061,0.2873745364549502,block_16,512,1.3478114054560249e-05,cosine,0.3606243092826609,128,16,9,adam,,1.0022393033518233e-06,0.8316581632653061,0.887015306122449,,,PRUNED
39,0.932295918367347,2026-04-21 12:29:26.251873,2026-04-21 12:29:55.129231,0 days 00:00:28.877358,0.3572103482238481,block_12,256,0.00010252596606642876,cosine,0.5336394680949241,64,2,6,adam,,6.076999157085427e-06,0.932295918367347,,,,PRUNED
40,0.6655484693877552,2026-04-21 12:29:55.278142,2026-04-21 12:30:01.397007,0 days 00:00:06.118865,0.534432910059828,block_12,512,0.00024057036462375738,cosine_warmup,0.3706891246169174,128,8,6,adam,13.0,1.187370886242935e-06,0.6655484693877552,,,,PRUNED
41,0.914655612244898,2026-04-21 12:30:01.541925,2026-04-21 12:30:38.550123,0 days 00:00:37.008198,0.01721002183279454,block_12,2048,1.588627439460573e-05,cosine,0.5432105564256633,512,8,11,adam,,1.7323531692790862e-05,0.914655612244898,,,,PRUNED
42,0.9070535714285715,2026-04-21 12:30:38.695238,2026-04-21 12:30:54.848865,0 days 00:00:16.153627,0.12834486770279183,block_20,2048,0.00027344621407432754,constant,0.23081291715211547,64,4,12,adam,,0.0015558520457224624,0.8571811224489795,0.9070535714285715,,,PRUNED
43,0.7984056122448979,2026-04-21 12:30:55.006670,2026-04-21 12:31:02.053659,0 days 00:00:07.046989,0.21358574204089165,block_12,2048,2.929745701197413e-05,cosine,0.5944501019911752,64,8,9,adam,,2.054115602063019e-06,0.7984056122448979,,,,PRUNED
44,0.8346173469387754,2026-04-21 12:31:02.215607,2026-04-21 12:31:14.966494,0 days 00:00:12.750887,0.23479639747267408,block_12,2048,1.4389795575085403e-05,cosine,0.5773977908596949,512,4,8,adam,,2.8004048990923215e-06,0.8346173469387754,,,,PRUNED
