number,value,datetime_start,datetime_complete,duration,params_attn_dropout,params_clip_layer,params_dim_feedforward,params_lr,params_lr_scheduler,params_mlp_dropout,params_mlp_hidden_dim,params_n_heads,params_num_layers,params_optimizer_type,params_weight_decay,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
0,0.952359693877551,2026-04-21 21:25:31.713225,2026-04-21 21:27:52.286076,0 days 00:02:20.572851,0.6330880728874675,block_16,1024,9.953498336966692e-05,cosine,0.24044600469728353,2048,2,12,adam,0.05669849511478854,,,,,COMPLETE
1,0.9489030612244898,2026-04-21 21:27:52.419406,2026-04-21 21:29:49.401166,0 days 00:01:56.981760,0.5059264473611897,block_16,1024,5.471671330031319e-05,cosine,0.055797544260816734,3072,8,7,adam,8.111941985431925e-06,0.9356377551020407,0.9491836734693878,,,COMPLETE
2,0.9512499999999999,2026-04-21 21:29:49.544922,2026-04-21 21:32:01.536640,0 days 00:02:11.991718,0.6744427686266665,block_16,1024,5.221910047262891e-05,cosine,0.38625281322982374,512,8,11,adam,0.0003725393839578887,0.8129464285714286,0.8911862244897959,0.9321173469387756,0.947283163265306,COMPLETE
3,0.9313010204081633,2026-04-21 21:32:01.714049,2026-04-21 21:32:33.136602,0 days 00:00:31.422553,0.3558555380447055,block_16,1024,0.0001267916661787983,cosine,0.20802720847112433,2048,8,10,adam,4.075596440072871e-06,0.8516198979591836,0.9068112244897959,0.9313010204081633,,PRUNED
4,0.7480676020408161,2026-04-21 21:32:33.260725,2026-04-21 21:32:40.299168,0 days 00:00:07.038443,0.3626651653816322,block_16,1024,0.0007999699524828581,cosine,0.15547091587579281,1024,2,11,adam,0.029794544625913636,0.7480676020408161,,,,PRUNED
5,0.8362627551020407,2026-04-21 21:32:40.452265,2026-04-21 21:32:47.947224,0 days 00:00:07.494959,0.2027610585618012,block_16,1024,0.0001850851993070693,cosine,0.3261845713819337,2048,8,13,adam,5.065486063975357e-06,0.8362627551020407,,,,PRUNED
6,0.8489413265306123,2026-04-21 21:32:48.085039,2026-04-21 21:32:55.694996,0 days 00:00:07.609957,0.3625916610133735,block_16,1024,9.38044865506929e-05,cosine,0.2918424713352256,1024,2,13,adam,3.7961668958008125e-06,0.8489413265306123,,,,PRUNED
7,0.8343367346938776,2026-04-21 21:32:55.831126,2026-04-21 21:33:02.789861,0 days 00:00:06.958735,0.2127095633720476,block_16,1024,0.0003472169727392282,cosine,0.04315657079732178,1024,2,11,adam,0.006366859160799431,0.8343367346938776,,,,PRUNED
8,0.6464413265306123,2026-04-21 21:33:02.917301,2026-04-21 21:33:09.279970,0 days 00:00:06.362669,0.2806106436270022,block_16,1024,0.0007110758776837314,cosine,0.37187906093702927,2048,2,9,adam,1.7638479543546876e-05,0.6464413265306123,,,,PRUNED
9,0.9467474489795918,2026-04-21 21:33:09.407255,2026-04-21 21:35:15.436398,0 days 00:02:06.029143,0.31396758127097085,block_16,1024,4.975496620535071e-05,cosine,0.17084311545050254,1024,8,10,adam,0.029026521418263923,0.9083673469387755,0.9312117346938775,0.94625,,COMPLETE
10,0.9459693877551021,2026-04-21 21:35:15.565140,2026-04-21 21:37:41.850981,0 days 00:02:26.285841,0.599401258882837,block_16,1024,4.6134380472531616e-05,cosine,0.1743103456285398,2048,2,13,adam,0.05174591942526332,0.9417474489795918,,,,COMPLETE
11,0.9327551020408164,2026-04-21 21:37:41.976128,2026-04-21 21:38:18.899360,0 days 00:00:36.923232,0.66263539628793,block_16,1024,8.792192403025028e-05,cosine,0.3448223735016852,512,8,13,adam,0.0001002715396963501,0.9327551020408164,,,,PRUNED
12,0.9497959183673469,2026-04-21 21:38:19.040924,2026-04-21 21:40:35.271826,0 days 00:02:16.230902,0.4300813448574674,block_16,1024,0.00016765295976811404,cosine,0.32223217392246484,2048,2,12,adam,0.006716360059150807,0.8645280612244899,0.9127295918367346,0.9334056122448979,0.9473341836734693,COMPLETE
13,0.7747831632653062,2026-04-21 21:40:35.459038,2026-04-21 21:40:42.374728,0 days 00:00:06.915690,0.6232211913374635,block_16,1024,3.2231449336500256e-05,cosine,0.3324961643062537,512,2,11,adam,0.011750359757294923,0.7747831632653062,,,,PRUNED
14,0.9272704081632653,2026-04-21 21:40:42.521130,2026-04-21 21:41:12.008219,0 days 00:00:29.487089,0.618833709912579,block_16,1024,2.623800250139882e-05,cosine,0.37455092656143857,3072,8,9,adam,0.00020746124812633668,0.9272704081632653,,,,PRUNED
15,0.9101913265306122,2026-04-21 21:41:12.147584,2026-04-21 21:41:26.220044,0 days 00:00:14.072460,0.5374379254599073,block_16,1024,8.951921604948212e-05,cosine,0.1428504275007185,2048,32,10,adam,0.00041888793923257843,0.8695025510204082,0.9101913265306122,,,PRUNED
16,0.8423214285714286,2026-04-21 21:41:26.353554,2026-04-21 21:41:38.340261,0 days 00:00:11.986707,0.6959586014481849,block_16,1024,4.215456090572142e-05,cosine,0.16813267986998842,3072,2,8,adam,0.09027645745144752,0.8423214285714286,,,,PRUNED
17,0.8226530612244898,2026-04-21 21:41:38.485350,2026-04-21 21:41:45.107987,0 days 00:00:06.622637,0.681203891948231,block_16,1024,0.00030354729891178284,cosine,0.16314353278198185,2048,2,10,adam,0.04460365369845749,0.8226530612244898,,,,PRUNED
18,0.9051147959183674,2026-04-21 21:41:45.265270,2026-04-21 21:41:57.786407,0 days 00:00:12.521137,0.6921691770257956,block_16,1024,0.00014285265122369921,cosine,0.3829920688060166,512,32,8,adam,5.2530541177271365e-05,0.9051147959183674,,,,PRUNED
19,0.9028188775510204,2026-04-21 21:41:57.937513,2026-04-21 21:42:11.818401,0 days 00:00:13.880888,0.6374582435386413,block_16,1024,0.00013643945144852643,cosine,0.3779818259494391,512,8,12,adam,0.02843915160710571,0.8524489795918367,0.9028188775510204,,,PRUNED
20,0.8357015306122451,2026-04-21 21:42:11.971584,2026-04-21 21:42:20.473031,0 days 00:00:08.501447,0.6827655158308981,block_16,1024,0.00010896369817723486,cosine,0.320131091059077,3072,32,13,adam,0.003478437029018475,0.8357015306122451,,,,PRUNED
21,0.8011734693877551,2026-04-21 21:42:20.609791,2026-04-21 21:42:27.858145,0 days 00:00:07.248354,0.37379632744581254,block_16,1024,0.0002687016661924767,cosine,0.37210936599376054,2048,2,12,adam,0.005057097086170789,0.8011734693877551,,,,PRUNED
22,0.9050510204081633,2026-04-21 21:42:27.994420,2026-04-21 21:42:41.262127,0 days 00:00:13.267707,0.5517717405020788,block_16,1024,4.42548757948559e-05,cosine,0.350015326230953,2048,8,11,adam,0.0014357823185559388,0.9050510204081633,,,,PRUNED
23,0.9061734693877551,2026-04-21 21:42:41.400460,2026-04-21 21:42:57.135110,0 days 00:00:15.734650,0.3573528719942556,block_16,1024,0.00011040263228547058,cosine,0.2939904535789608,1024,2,14,adam,0.009917188717595055,0.9061734693877551,,,,PRUNED
24,0.899298469387755,2026-04-21 21:42:57.292668,2026-04-21 21:43:13.650064,0 days 00:00:16.357396,0.5900332935725622,block_16,1024,0.0003227577328260104,cosine,0.28528312293769276,2048,32,12,adam,0.046620224754370256,0.899298469387755,,,,PRUNED
25,0.9511734693877552,2026-04-21 21:43:13.822241,2026-04-21 21:45:34.317782,0 days 00:02:20.495541,0.6272267293381535,block_16,1024,6.12252592949098e-05,cosine,0.33004184006178167,1024,16,11,adam,2.9702618525390985e-05,0.9122831632653061,0.9350510204081632,0.9489413265306123,,COMPLETE
